,,5th percentile,5th percentile,median,median,95th percentile,95th percentile
,,2040,2100,2040,2100,2040,2100
ssp534-over,ch4,0.050235797128932225,-0.16202363050892385,0.05425158933260826,-0.17918993381877238,0.061559614189962475,-0.1846703505631435
ssp534-over,aerosol-radiation_interactions,0.033228720100356574,0.0027401392778047817,0.0521646864661581,0.02653578100851453,0.06092755268652947,0.039085054579538425
ssp534-over,aerosol-cloud_interactions,0.09183865943710223,0.39599656997541666,0.10633346433682361,0.48596294921736766,0.11142349104277527,0.5478967744960355
ssp534-over,aerosol-total,0.1250673795374589,0.3987367092532216,0.15849815080298169,0.5124987302258821,0.17235104372930465,0.5869818290755738
ssp534-over,o3,0.03601565023738912,-0.12582044503875234,0.04114260413887494,-0.14085804373518943,0.04840264351554774,-0.1456176803472164
ssp534-over,HFCs,0.03510615302991001,0.014234784560188986,0.03694143279158494,0.02375520069655168,0.03943783285144152,0.03266123969667681
ssp534-over,bc_on_snow,-0.0014551110468207298,-0.042072960895541404,0.0012848396374467025,-0.0466424100247259,0.0030667952281034708,-0.04984219741785651
ssp534-over,total_anthropogenic,0.7193018843720305,0.7960868487024613,0.825389369384053,1.1364444042729454,0.9258871551551322,1.4681831759570168
ssp534-over,total,0.6870723274667974,0.7499253319226067,0.7925603879882679,1.0815152192236643,0.8948062467355677,1.40966344671658
ssp119,ch4,-0.025453115379151403,-0.15565447664968352,-0.01640590191123542,-0.17611515732890526,-0.010056651296331154,-0.18733146499604506
ssp119,aerosol-radiation_interactions,0.031977064732692934,0.042762708149073875,0.04597180109756824,0.06476349176058648,0.05268510001570337,0.07755094181447203
ssp119,aerosol-cloud_interactions,0.24344556317087002,0.4072186505856974,0.26140435929613826,0.5024784686054822,0.27339978824345884,0.5721005392704192
ssp119,aerosol-total,0.27542262790356303,0.4499813587347713,0.3073761603937066,0.5672419603660688,0.3260848882591625,0.6496514810848913
ssp119,o3,-0.06292899566822935,-0.13446912940818578,-0.056892817066037965,-0.15607563286841314,-0.053026088032495616,-0.16898518752762293
ssp119,HFCs,0.006776546189287479,-0.0033287313697479576,0.010883659702973461,-0.00046078100112866525,0.013176458364401896,0.0018519156643626265
ssp119,bc_on_snow,-0.025027731195745365,-0.040119577840080446,-0.024244225519312646,-0.04724267691961732,-0.024113675491372222,-0.052609087716266614
ssp119,total_anthropogenic,0.3833386018446572,0.1016471934783636,0.5130482020874634,0.26449325009104174,0.609389074950148,0.4340367197442647
ssp119,total,0.3511090449394245,0.05548567669850879,0.4802192206916789,0.20956406504176184,0.578308166530584,0.37551699050382825
ssp460,ch4,0.06797042683307342,0.1496324594716293,0.0733691771118859,0.1827910288802181,0.08184702698707169,0.22166471050565906
ssp460,aerosol-radiation_interactions,0.01862369269381048,-0.012303589873019036,0.034947893299784705,0.004883781845776147,0.042119968115471584,0.011818828594612363
ssp460,aerosol-cloud_interactions,-0.0051995639855572096,0.237243955619152,-0.00020600710232043795,0.2742188260792352,-0.0024848676784430257,0.29140630221534775
ssp460,aerosol-total,0.01342412870825338,0.22494036574613302,0.03474188619746421,0.27910260792501124,0.03963510043702845,0.30322513080996016
ssp460,o3,0.04789499290797494,0.0800619389233359,0.05425286295643056,0.10327415653088395,0.06239643649858989,0.1315933480103441
ssp460,HFCs,0.031611107339114645,0.03946662199058694,0.03295850825026338,0.0548753913655521,0.0351290872129537,0.06822240384171976
ssp460,bc_on_snow,0.008656823312560222,-0.025443564967661078,0.012160889160976053,-0.024773954118677464,0.014618394303204468,-0.023501458516872707
ssp460,total_anthropogenic,0.5636716672386728,2.0132972297801355,0.6646129664101372,2.442368876392604,0.7570003447485236,2.86604925606719
ssp460,total,0.5314421103334399,1.9671357130002811,0.6317839850143523,2.387439691343323,0.7259194363289598,2.8075295268267526
ssp585,ch4,0.04702720026878493,0.12524771810372298,0.05102049668487274,0.15829615609883368,0.058200085650155775,0.19566992771583336
ssp585,aerosol-radiation_interactions,0.03322872010035659,-0.0013757936330389964,0.05216468646615813,0.019699768521716093,0.060927552686529496,0.029954076383078065
ssp585,aerosol-cloud_interactions,0.09183865943710223,0.2641712305778423,0.10633346433682361,0.31582691213416914,0.11142349104277527,0.3474967789305967
ssp585,aerosol-total,0.1250673795374589,0.2627954369448034,0.15849815080298169,0.33552668065588515,0.17235104372930465,0.3774508553136746
ssp585,o3,0.03398556815270748,0.04710069130612615,0.03910896984583506,0.07261263166205378,0.046291556541772805,0.10062553360978399
ssp585,HFCs,0.03509872126218369,0.19974195188086366,0.036933649643059493,0.2315848045553382,0.039429706555064704,0.2611960449563847
ssp585,bc_on_snow,-0.0014551110468207298,-0.030472354386239683,0.0012848396374467164,-0.031324677996558956,0.0030667952281034708,-0.031686912727789576
ssp585,total_anthropogenic,0.7089176777725916,3.619459628939156,0.815045747197074,4.229732768302987,0.9151686557785543,4.836775143816951
ssp585,total,0.6766881208673587,3.5732981121593017,0.7822167658012891,4.174803583253706,0.8840877473589901,4.778255414576513
ssp370,ch4,0.05921901308787325,0.23378053907549856,0.06400399568424026,0.27178484991009777,0.07192304943339367,0.3167115230100196
ssp370,aerosol-radiation_interactions,0.01721299619969026,0.008583235384796967,0.03120181787291923,0.026571495343300555,0.0373934803376981,0.035026295958383136
ssp370,aerosol-cloud_interactions,-0.04251628337683755,0.00780780582260443,-0.0408730606687957,0.010148978817039023,-0.045939533328455795,-0.004401991973434827
ssp370,aerosol-total,-0.02530328717714725,0.016391041207401646,-0.009671242795876278,0.03672047416033952,-0.008546052990757724,0.03062430398494831
