,,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp585
2040,CH$_4$+O$_3$+HFCs,-0.12476717190049923,-0.07135539228494271,0.08785353157252367,0.17847323501827567,0.131824480316529,-0.07141920096945512,0.1524807348201947
2040,HFCs,0.004117435569569134,0.01727985241970432,0.029994477318034885,0.0281403030689461,0.0281403030689461,0.028119028453603558,0.045723728597784334
2040,aerosol-total,0.32386572294515453,0.27183879693671126,0.05845847152325356,-0.04606702579149269,0.12089128485012035,0.12089128485012035,0.12332561164396061
2040,bc_on_snow,-0.03284182113412831,-0.02764223867006982,-0.00782163505046199,0.013553781245128765,-0.009785834998705986,-0.009785834998705986,-0.00495818459613212
2040,ch4,-0.04359922706993069,-0.02952894478103746,0.03859016937319931,0.07630689007301378,0.07630689007301378,-0.04985615910902508,0.06177220114652798
2040,o3,-0.08528538040013767,-0.05910629992360958,0.019268884881289472,0.07402604187631578,0.02737728717456911,-0.0496820703140336,0.04498480507588237
2040,total_anthropogenic,0.3884399866931867,0.5150452140631838,0.6039164418808314,0.7104281848957315,0.8074452180799643,0.5934144126545804,0.8662651631793146
2100,CH$_4$+O$_3$+HFCs,-0.3565895695783307,-0.3442486387337398,-0.007600081392765953,0.6458983064665618,0.5641988564028249,-0.16931844866404333,0.44054718478606336
2100,HFCs,-0.00685071537365097,-0.004392667378265852,0.060519640898316726,0.10460322138864714,0.10460322138864714,0.08981823675112954,0.2438517251600996
2100,aerosol-total,0.5063037092590836,0.5182724100890259,0.36255338231082007,0.002491020246699782,0.37290816256689324,0.37290816256689324,0.28646242143122175
2100,bc_on_snow,-0.047693901194114895,-0.04549716524298493,-0.04552741936173741,0.004334981530323412,-0.03845965869038517,-0.03845965869038517,-0.04050208294466905
2100,ch4,-0.19078878381980177,-0.18206181834647003,-0.015143184868401216,0.29007944645514366,0.29007944645514366,-0.14738838487983832,0.1476880148850982
2100,o3,-0.15895007038487802,-0.15779415300900387,-0.05297653742268146,0.2512156386227709,0.169516188559034,-0.11174830053533452,0.0490074447408656
2100,total_anthropogenic,0.03975884763635995,0.5125774894587058,1.845924730772842,3.4137262430384205,3.6474554198421054,2.85223529461947,4.433970526392059
