,,5th percentile,5th percentile,median,median,95th percentile,95th percentile
,,2040,2100,2040,2100,2040,2100
ssp534-over,ch4,0.05028446234194078,-0.1618421334211757,0.054284952457321345,-0.17906079162626348,0.061599215809457875,-0.1845143660867371
ssp534-over,aerosol-radiation_interactions,0.033226804118937775,0.0027329936181826886,0.05216341668109306,0.02653086612376257,0.06092606898025266,0.039079214877713764
ssp534-over,aerosol-cloud_interactions,0.09180048030669352,0.3958541807706262,0.10630760717394694,0.4858628627183571,0.11139296896876028,0.5477765857891126
ssp534-over,aerosol-total,0.12502728442563138,0.39858717438880903,0.15847102385503997,0.5123937288421198,0.17231903794901293,0.5868558006668265
ssp534-over,o3,0.036044947293388196,-0.12571118156255068,0.04116268515078181,-0.14078031404588942,0.04842647726538846,-0.14552380337572834
ssp534-over,bc_on_snow,-0.0014508106541328558,-0.04205692256547529,0.0012877632258874241,-0.046631093502230936,0.0030702522861047535,-0.04982858317018854
ssp534-over,total_anthropogenic,,,,,,
ssp534-over,total,,,,,,
ssp119,ch4,-0.025404450166142845,-0.15547297956193534,-0.016372538786522173,-0.17598601513639628,-0.010017049676835754,-0.18717548051963873
ssp119,aerosol-radiation_interactions,0.03197514875127418,0.04275556248945181,0.04597053131250321,0.06475857687583457,0.05268361630942653,0.07754510211264737
ssp119,aerosol-cloud_interactions,0.24340738404046133,0.40707626138090686,0.26137850213326164,0.5023783821064718,0.27336926616944407,0.5719803505634964
ssp119,aerosol-total,0.27538253279173547,0.4498318238703587,0.3073490334457649,0.5671369589823064,0.3260528824788709,0.649525452676144
ssp119,o3,-0.06289969861223027,-0.13435986593198412,-0.05687273605413107,-0.15599790317911305,-0.053002254282655065,-0.16889131055613507
ssp119,bc_on_snow,-0.025023430803057488,-0.04010353951001432,-0.024241301930871907,-0.04723136039712235,-0.024110218433370946,-0.05259547346859865
ssp119,total_anthropogenic,,,,,,
ssp119,total,,,,,,
ssp460,ch4,0.06801909204608192,0.1498139565593774,0.07340254023659915,0.18292017107272723,0.08188662860656709,0.22182069498206552
ssp460,aerosol-radiation_interactions,0.01862177671239172,-0.012310735532641087,0.034946623514719666,0.004878866961024186,0.04211848440919477,0.011812988892787729
ssp460,aerosol-cloud_interactions,-0.005237743115965865,0.23710156641436136,-0.00023186426519716807,0.2741187395802248,-0.0025153897524577973,0.291286113508425
ssp460,aerosol-total,0.013384033596426037,0.22479083088172047,0.03471475924952239,0.2789976065412488,0.03960309465673684,0.30309910240121263
ssp460,o3,0.04792428996397402,0.08017120239953768,0.05427294396833737,0.10335188622018399,0.06242027024843061,0.13168722498183216
ssp460,bc_on_snow,0.008661123705248117,-0.02542752663759496,0.012163812749416796,-0.024762637596182486,0.014621851361205751,-0.02348784426920475
ssp460,total_anthropogenic,,,,,,
ssp460,total,,,,,,
ssp585,ch4,0.04707586548179349,0.12542921519147116,0.05105385980958582,0.15842529829134266,0.05823968726965112,0.19582591219223977
ssp585,aerosol-radiation_interactions,0.0332268041189378,-0.0013829392926610895,0.052163416681093075,0.019694853636964105,0.060926068980252684,0.029948236681253376
ssp585,aerosol-cloud_interactions,0.09180048030669352,0.2640288413730518,0.10630760717394694,0.31572682563515864,0.11139296896876028,0.3473765902236738
ssp585,aerosol-total,0.12502728442563144,0.26264590208039085,0.15847102385503997,0.33542167927212274,0.17231903794901304,0.3773248269049273
ssp585,o3,0.03401486520870656,0.04720995478232792,0.03912905085774193,0.07269036135135387,0.04631539029161352,0.10071941058127198
ssp585,bc_on_snow,-0.0014508106541328558,-0.03045631605617357,0.001287763225887438,-0.031313361474063994,0.0030702522861047535,-0.031673298480121605
ssp585,total_anthropogenic,,,,,,
ssp585,total,,,,,,
ssp370,ch4,0.059267678300881865,0.23396203616324668,0.06403735880895345,0.2719139921026068,0.0719626510528889,0.31686750748642606
ssp370,aerosol-radiation_interactions,0.0172110802182715,0.008576089725174929,0.03120054808785422,0.02656658045854865,0.037391996631421315,0.03502045625655853
ssp370,aerosol-cloud_interactions,-0.04255446250724626,0.007665416617813947,-0.04089891783167232,0.010048892318028524,-0.04597005540247068,-0.004522180680357701
ssp370,aerosol-total,-0.025343382288974703,0.01624150634298882,-0.009698369743817992,0.036615472776577174,-0.008578058771049446,0.030498275576200773
ssp370,o3,0.058360473223234954,0.20332800507831483,0.06522596206065878,0.23937691768717745,0.0739881554665563,0.28103626356746647
ssp370,bc_on_snow,0.013517530870271958,0.006398514054790423,0.017048927084934565,0.011629766663821206,0.019708416581628696,0.017215671841844887
ssp370,total_anthropogenic,,,,,,
ssp370,total,,,,,,
ssp370-lowNTCF-aerchemmip,ch4,0.059267678300881865,0.23396203616324668,0.06403735880895345,0.2719139921026068,0.0719626510528889,0.31686750748642606
ssp370-lowNTCF-aerchemmip,aerosol-radiation_interactions,0.022198771024828215,0.024028330817313148,0.03629211756654975,0.046327861818283786,0.04272061877439218,0.05843955549602331
ssp370-lowNTCF-aerchemmip,aerosol-cloud_interactions,0.07778864452220868,0.30348461666647447,0.07939879019035745,0.3653258358418532,0.07894117763338215,0.40578526891005084
ssp370-lowNTCF-aerchemmip,aerosol-total,0.09998741554703683,0.32751294748378756,0.11569090775690716,0.411653697660137,0.12166179640777441,0.46422482440607404
ssp370-lowNTCF-aerchemmip,o3,0.02264239443926036,0.13446936696828782,0.029037063558668197,0.15605965129162724,0.0362587744414109,0.1842514688517402
ssp370-lowNTCF-aerchemmip,bc_on_snow,-0.0041165028164683315,-0.029610994481289465,-0.0006649134199320089,-0.03185434482395054,0.0012877156052660751,-0.03320235424946853
ssp370-lowNTCF-aerchemmip,total_anthropogenic,,,,,,
ssp370-lowNTCF-aerchemmip,total,,,,,,
ssp126,ch4,-0.01632039085701037,-0.14814955171387928,-0.008498776187115697,-0.1659210759198755,-0.0022722354926771327,-0.1744322740049628
ssp126,aerosol-radiation_interactions,0.02696044756808416,0.05166941229397681,0.03937043398214646,0.07641734924409782,0.04532288714916685,0.09148107070572706
ssp126,aerosol-cloud_interactions,0.20271369242455312,0.4068034335987845,0.21808225597766445,0.4991463521570279,0.22767868545363745,0.5656843592345695
ssp126,aerosol-total,0.22967413999263742,0.4584728458927615,0.2574526899598109,0.5755637014011257,0.27300157260280444,0.6571654299402967
ssp126,o3,-0.04382566273873331,-0.1328992052258962,-0.038437594016941995,-0.15228173429425823,-0.03412609654405879,-0.1628135814339338
ssp126,bc_on_snow,-0.021055788418481037,-0.03806057164255576,-0.020265585431417404,-0.04425739234491486,-0.019989970274265786,-0.04876879955119736
ssp126,total_anthropogenic,,,,,,
ssp126,total,,,,,,
