percentile,scenario,year,variable,Delta T
recommendation,ssp334,2036,ch4,0.05158414640935055
recommendation,ssp334,2037,ch4,0.052026784565776696
recommendation,ssp334,2038,ch4,0.05236140663487521
recommendation,ssp334,2039,ch4,0.05261457762577615
recommendation,ssp334,2040,ch4,0.05280613667688139
recommendation,ssp334,2041,ch4,0.05224006956255833
recommendation,ssp334,2042,ch4,0.051101611065876074
recommendation,ssp334,2043,ch4,0.049529020843841254
recommendation,ssp334,2044,ch4,0.04762547920229443
recommendation,ssp334,2045,ch4,0.04546797002029829
recommendation,ssp334,2046,ch4,0.04311391387727981
recommendation,ssp334,2047,ch4,0.040606121180012444
recommendation,ssp334,2048,ch4,0.03797649077571852
recommendation,ssp334,2049,ch4,0.03524877177590624
recommendation,ssp334,2050,ch4,0.03244062584633228
recommendation,ssp334,2051,ch4,0.0298755871259197
recommendation,ssp334,2052,ch4,0.027488393782424625
recommendation,ssp334,2053,ch4,0.025230293570877416
recommendation,ssp334,2054,ch4,0.023064862136330577
recommendation,ssp334,2055,ch4,0.02096488039417488
recommendation,ssp334,2056,ch4,0.018910002758581068
recommendation,ssp334,2057,ch4,0.016885015923237323
recommendation,ssp334,2058,ch4,0.014878538626834859
recommendation,ssp334,2059,ch4,0.012882050716247706
recommendation,ssp334,2060,ch4,0.010889168106967329
recommendation,ssp334,2061,ch4,0.009260802917264777
recommendation,ssp334,2062,ch4,0.007903512203351781
recommendation,ssp334,2063,ch4,0.0067475198282761495
recommendation,ssp334,2064,ch4,0.005740722426282208
recommendation,ssp334,2065,ch4,0.0048442134575525375
recommendation,ssp334,2066,ch4,0.004028940871383113
recommendation,ssp334,2067,ch4,0.00327321127236907
recommendation,ssp334,2068,ch4,0.0025608261984650937
recommendation,ssp334,2069,ch4,0.0018796904179398388
recommendation,ssp334,2070,ch4,0.0012207726984979073
recommendation,ssp334,2071,ch4,0.000679453112159778
recommendation,ssp334,2072,ch4,0.00022528916567005064
recommendation,ssp334,2073,ch4,-0.00016445004872739366
recommendation,ssp334,2074,ch4,-0.0005067369496143392
recommendation,ssp334,2075,ch4,-0.0008142439081813002
recommendation,ssp334,2076,ch4,-0.0010964323150584043
recommendation,ssp334,2077,ch4,-0.0013603658226199467
recommendation,ssp334,2078,ch4,-0.0016113176199669121
recommendation,ssp334,2079,ch4,-0.001853223905280199
recommendation,ssp334,2080,ch4,-0.0020890225086495073
recommendation,ssp334,2081,ch4,-0.002251847016711661
recommendation,ssp334,2082,ch4,-0.0023605928514411345
recommendation,ssp334,2083,ch4,-0.0024293685342031135
recommendation,ssp334,2084,ch4,-0.0024687080537209583
recommendation,ssp334,2085,ch4,-0.0024864761814304415
recommendation,ssp334,2086,ch4,-0.002488544500460932
recommendation,ssp334,2087,ch4,-0.0024792962188809886
recommendation,ssp334,2088,ch4,-0.002462003130473789
recommendation,ssp334,2089,ch4,-0.0024391071038336043
recommendation,ssp334,2090,ch4,-0.002412430279593869
recommendation,ssp334,2091,ch4,-0.002337847857915687
