percentile,scenario,year,variable,Delta T
recommendation,ssp334,2054,o3,-0.05207797059378588
recommendation,ssp334,2055,o3,-0.05330458856999398
recommendation,ssp334,2056,o3,-0.05450187656029051
recommendation,ssp334,2057,o3,-0.055685513251911734
recommendation,ssp334,2058,o3,-0.05686099586612031
recommendation,ssp334,2059,o3,-0.058033487849966175
recommendation,ssp334,2060,o3,-0.059200044636045224
recommendation,ssp334,2061,o3,-0.06023161264723681
recommendation,ssp334,2062,o3,-0.06115795925361994
recommendation,ssp334,2063,o3,-0.0620068259586731
recommendation,ssp334,2064,o3,-0.062802539495037
recommendation,ssp334,2065,o3,-0.06356599047578607
recommendation,ssp334,2066,o3,-0.0643199693092778
recommendation,ssp334,2067,o3,-0.06508334642021693
recommendation,ssp334,2068,o3,-0.06586321761136182
recommendation,ssp334,2069,o3,-0.06665516988648496
recommendation,ssp334,2070,o3,-0.06744915775047286
recommendation,ssp334,2071,o3,-0.0681251125522015
recommendation,ssp334,2072,o3,-0.06870560553657826
recommendation,ssp334,2073,o3,-0.06921336802684669
recommendation,ssp334,2074,o3,-0.06966609747582447
recommendation,ssp334,2075,o3,-0.07007877478424035
recommendation,ssp334,2076,o3,-0.07046466468113069
recommendation,ssp334,2077,o3,-0.0708365385139299
recommendation,ssp334,2078,o3,-0.07120895319903958
recommendation,ssp334,2079,o3,-0.07159397463120612
recommendation,ssp334,2080,o3,-0.07199704219990335
recommendation,ssp334,2081,o3,-0.07233189945501009
recommendation,ssp334,2082,o3,-0.07261279021160086
recommendation,ssp334,2083,o3,-0.07284715567084465
recommendation,ssp334,2084,o3,-0.07304121156379798
recommendation,ssp334,2085,o3,-0.07319920274493663
recommendation,ssp334,2086,o3,-0.07332507587635989
recommendation,ssp334,2087,o3,-0.07342884969649
recommendation,ssp334,2088,o3,-0.07352141126572401
recommendation,ssp334,2089,o3,-0.07361471632641053
recommendation,ssp334,2090,o3,-0.07372257283491354
recommendation,ssp334,2091,o3,-0.07377995814955005
recommendation,ssp334,2092,o3,-0.07380876724136198
recommendation,ssp334,2093,o3,-0.0738154211112276
recommendation,ssp334,2094,o3,-0.07379238393552229
recommendation,ssp334,2095,o3,-0.07373580384881298
recommendation,ssp334,2096,o3,-0.07364614577056217
recommendation,ssp334,2097,o3,-0.07352893430976712
recommendation,ssp334,2098,o3,-0.07339274405505941
recommendation,ssp334,2099,o3,-0.07324839188359239
recommendation,ssp334,2100,o3,-0.07311016678278673
recommendation,ssp119,2019,o3,0.0
recommendation,ssp119,2020,o3,-0.003051192806897529
recommendation,ssp119,2021,o3,-0.006391022662058099
recommendation,ssp119,2022,o3,-0.010032181891868996
recommendation,ssp119,2023,o3,-0.013976596442680234
recommendation,ssp119,2024,o3,-0.018224648050629955
recommendation,ssp119,2025,o3,-0.022767046335675334
recommendation,ssp119,2026,o3,-0.02758499659125685
recommendation,ssp119,2027,o3,-0.03266227516601025
recommendation,ssp119,2028,o3,-0.03798641341243769
recommendation,ssp119,2029,o3,-0.04355907129372008
recommendation,ssp119,2030,o3,-0.049372422576444086
recommendation,ssp119,2031,o3,-0.054488679823665065
recommendation,ssp119,2032,o3,-0.05909935144155187
recommendation,ssp119,2033,o3,-0.06333165726107925
recommendation,ssp119,2034,o3,-0.06728228225050878
recommendation,ssp119,2035,o3,-0.07102782155316884
recommendation,ssp119,2036,o3,-0.07459702328306833
recommendation,ssp119,2037,o3,-0.07802398091790336
recommendation,ssp119,2038,o3,-0.08131114446673054
recommendation,ssp119,2039,o3,-0.08448032693177043
recommendation,ssp119,2040,o3,-0.08753357179602181
recommendation,ssp119,2041,o3,-0.09046373726612017
recommendation,ssp119,2042,o3,-0.09328280933141214
recommendation,ssp119,2043,o3,-0.0960115718900752
recommendation,ssp119,2044,o3,-0.09867172901903004
recommendation,ssp119,2045,o3,-0.10128468965137558
recommendation,ssp119,2046,o3,-0.10388078051682384
recommendation,ssp119,2047,o3,-0.1064669628272602
recommendation,ssp119,2048,o3,-0.10904868917593102
recommendation,ssp119,2049,o3,-0.11160992888762855
recommendation,ssp119,2050,o3,-0.11412629546321276
recommendation,ssp119,2051,o3,-0.11635923028199383
recommendation,ssp119,2052,o3,-0.1183630138186186
recommendation,ssp119,2053,o3,-0.12017527804512815
recommendation,ssp119,2054,o3,-0.12182993278090623
recommendation,ssp119,2055,o3,-0.12336450988691292
recommendation,ssp119,2056,o3,-0.12481704262633292
recommendation,ssp119,2057,o3,-0.12621367409480966
recommendation,ssp119,2058,o3,-0.12755220506638942
recommendation,ssp119,2059,o3,-0.12883657013221755
recommendation,ssp119,2060,o3,-0.13007020232436065
recommendation,ssp119,2061,o3,-0.1311814664792496
recommendation,ssp119,2062,o3,-0.13218432220953746
recommendation,ssp119,2063,o3,-0.13309536760673327
recommendation,ssp119,2064,o3,-0.1339354395671514
recommendation,ssp119,2065,o3,-0.13472100368890846
recommendation,ssp119,2066,o3,-0.13546985679700646
recommendation,ssp119,2067,o3,-0.13620822331360907
recommendation,ssp119,2068,o3,-0.13694700109773017
recommendation,ssp119,2069,o3,-0.1376824962010141
recommendation,ssp119,2070,o3,-0.13839828698630732
recommendation,ssp119,2071,o3,-0.139089779315157
recommendation,ssp119,2072,o3,-0.13974681928327393
recommendation,ssp119,2073,o3,-0.1403770606974206
recommendation,ssp119,2074,o3,-0.140987747982061
recommendation,ssp119,2075,o3,-0.14158224545574757
recommendation,ssp119,2076,o3,-0.14216766153064223
recommendation,ssp119,2077,o3,-0.14274923825013652
recommendation,ssp119,2078,o3,-0.14333699090210353
recommendation,ssp119,2079,o3,-0.14394430803880287
recommendation,ssp119,2080,o3,-0.14457745298266522
recommendation,ssp119,2081,o3,-0.14521083857029427
recommendation,ssp119,2082,o3,-0.14583590154634318
recommendation,ssp119,2083,o3,-0.14644544471952092
recommendation,ssp119,2084,o3,-0.14702619885839102
recommendation,ssp119,2085,o3,-0.1475787315935111
recommendation,ssp119,2086,o3,-0.14809422922700416
recommendation,ssp119,2087,o3,-0.14857722307776997
recommendation,ssp119,2088,o3,-0.14903992274380212
recommendation,ssp119,2089,o3,-0.1494914359372415
recommendation,ssp119,2090,o3,-0.1499467979114919
recommendation,ssp119,2091,o3,-0.15041786161396586
recommendation,ssp119,2092,o3,-0.15090560070192896
recommendation,ssp119,2093,o3,-0.15141238360879988
recommendation,ssp119,2094,o3,-0.15190998627274538
recommendation,ssp119,2095,o3,-0.1523764923958567
recommendation,ssp119,2096,o3,-0.15280560786471117
recommendation,ssp119,2097,o3,-0.1531932665524612
recommendation,ssp119,2098,o3,-0.15354697419461283
recommendation,ssp119,2099,o3,-0.15387229861959134
recommendation,ssp119,2100,o3,-0.15418343017883512
recommendation,ssp460,2019,o3,0.0
recommendation,ssp460,2020,o3,0.0018738755866671841
recommendation,ssp460,2021,o3,0.004089712912630938
recommendation,ssp460,2022,o3,0.006557299216067847
recommendation,ssp460,2023,o3,0.009183979765569616
recommendation,ssp460,2024,o3,0.01192377128073091
recommendation,ssp460,2025,o3,0.014753126852992515
recommendation,ssp460,2026,o3,0.017663086255320704
recommendation,ssp460,2027,o3,0.020644366704864525
recommendation,ssp460,2028,o3,0.023686262242232303
recommendation,ssp460,2029,o3,0.026766402032905923
recommendation,ssp460,2030,o3,0.02987367633002075
recommendation,ssp460,2031,o3,0.03297029754322078
recommendation,ssp460,2032,o3,0.03604691208065608
recommendation,ssp460,2033,o3,0.03908502750379683
recommendation,ssp460,2034,o3,0.04206155046635701
recommendation,ssp460,2035,o3,0.04495484467686095
recommendation,ssp460,2036,o3,0.04778153111248412
recommendation,ssp460,2037,o3,0.05054361199652507
recommendation,ssp460,2038,o3,0.05326812911825235
recommendation,ssp460,2039,o3,0.05595787429701299
recommendation,ssp460,2040,o3,0.05863183614484496
recommendation,ssp460,2041,o3,0.0612095221065011
recommendation,ssp460,2042,o3,0.06370525252564735
recommendation,ssp460,2043,o3,0.06611294456996542
recommendation,ssp460,2044,o3,0.06842483994028731
recommendation,ssp460,2045,o3,0.07063317946807873
recommendation,ssp460,2046,o3,0.07272142492675748
recommendation,ssp460,2047,o3,0.07469413193110352
recommendation,ssp460,2048,o3,0.07655745966096084
recommendation,ssp460,2049,o3,0.0783366750808413
recommendation,ssp460,2050,o3,0.08006551464141609
recommendation,ssp460,2051,o3,0.08175820251381255
recommendation,ssp460,2052,o3,0.08341492533045569
recommendation,ssp460,2053,o3,0.08503162610129078
recommendation,ssp460,2054,o3,0.08660173774739527
recommendation,ssp460,2055,o3,0.08810965473488669
recommendation,ssp460,2056,o3,0.08953745823796722
recommendation,ssp460,2057,o3,0.09087532968057715
recommendation,ssp460,2058,o3,0.09213955960559345
recommendation,ssp460,2059,o3,0.09333925776439367
recommendation,ssp460,2060,o3,0.09448187634983751
recommendation,ssp460,2061,o3,0.09561096976486422
recommendation,ssp460,2062,o3,0.09672579276706927
recommendation,ssp460,2063,o3,0.09781629068136383
recommendation,ssp460,2064,o3,0.09886753990758684
recommendation,ssp460,2065,o3,0.09986844172496123
recommendation,ssp460,2066,o3,0.10080701662023389
recommendation,ssp460,2067,o3,0.10166313633789803
recommendation,ssp460,2068,o3,0.1024315622695236
recommendation,ssp460,2069,o3,0.10312146297807606
recommendation,ssp460,2070,o3,0.10375487930485983
recommendation,ssp460,2071,o3,0.10424311782210105
recommendation,ssp460,2072,o3,0.10462226520656154
recommendation,ssp460,2073,o3,0.10490274373893443
recommendation,ssp460,2074,o3,0.10509167335794528
recommendation,ssp460,2075,o3,0.10519849270828285
recommendation,ssp460,2076,o3,0.10522547946413285
recommendation,ssp460,2077,o3,0.10517750058360181
recommendation,ssp460,2078,o3,0.10505122785155624
recommendation,ssp460,2079,o3,0.10484051137650013
recommendation,ssp460,2080,o3,0.10454495945899694
recommendation,ssp460,2081,o3,0.10424687386520398
recommendation,ssp460,2082,o3,0.10394248617548518
recommendation,ssp460,2083,o3,0.10362768370140335
recommendation,ssp460,2084,o3,0.10330781237981529
recommendation,ssp460,2085,o3,0.10297802909963644
recommendation,ssp460,2086,o3,0.10264529200119421
recommendation,ssp460,2087,o3,0.10230375951786802
recommendation,ssp460,2088,o3,0.1019415137185537
recommendation,ssp460,2089,o3,0.10155055677200636
recommendation,ssp460,2090,o3,0.10111646936941282
recommendation,ssp460,2091,o3,0.10067688713793704
recommendation,ssp460,2092,o3,0.10022511265523865
recommendation,ssp460,2093,o3,0.09975411231779407
recommendation,ssp460,2094,o3,0.09928797410301887
recommendation,ssp460,2095,o3,0.09884605251061279
recommendation,ssp460,2096,o3,0.0984325607850366
recommendation,ssp460,2097,o3,0.09804900617819429
recommendation,ssp460,2098,o3,0.09768372793175828
recommendation,ssp460,2099,o3,0.0973293209736506
recommendation,ssp460,2100,o3,0.09696896908599056
recommendation,ssp585,2019,o3,0.0
recommendation,ssp585,2020,o3,0.0012623305661436657
recommendation,ssp585,2021,o3,0.002420374863108976
recommendation,ssp585,2022,o3,0.003510644868113366
recommendation,ssp585,2023,o3,0.004595759871525773
recommendation,ssp585,2024,o3,0.005715865966565481
recommendation,ssp585,2025,o3,0.006899562040519502
recommendation,ssp585,2026,o3,0.008172048071594107
recommendation,ssp585,2027,o3,0.00954597721368905
recommendation,ssp585,2028,o3,0.01102337607397158
recommendation,ssp585,2029,o3,0.012589805091019757
