scenario,year,p95-p50,p05-p50,variable
ssp119,2020,0.0,0.0,HFCs
ssp119,2021,0.00033619996566420395,-0.00026563352556464176,HFCs
ssp119,2022,0.0006962144335648386,-0.0005495398861806912,HFCs
ssp119,2023,0.0010751107115459812,-0.00083994233961862,HFCs
ssp119,2024,0.0014633835092079247,-0.001149778998732194,HFCs
ssp119,2025,0.0018303077964085424,-0.0014498886537687068,HFCs
ssp119,2026,0.002199056674120473,-0.0017627900667037556,HFCs
ssp119,2027,0.002582190840907962,-0.0020436524303237124,HFCs
ssp119,2028,0.0029105486065134707,-0.0022726138469735054,HFCs
ssp119,2029,0.003257924955921825,-0.0024611106532443808,HFCs
ssp119,2030,0.003546814994672871,-0.002627361680751441,HFCs
ssp119,2031,0.003785314200362204,-0.0027486831724218316,HFCs
ssp119,2032,0.004000623376128647,-0.0028301102914469146,HFCs
ssp119,2033,0.004110370646658052,-0.002877421483803349,HFCs
ssp119,2034,0.004214556193855653,-0.002897884022208014,HFCs
ssp119,2035,0.004257813725868019,-0.0028921189230292662,HFCs
ssp119,2036,0.004251196752208976,-0.002862751281283233,HFCs
ssp119,2037,0.004214335905199745,-0.0028210018485584276,HFCs
ssp119,2038,0.004189379977871522,-0.0027475377182835667,HFCs
ssp119,2039,0.004164464136579366,-0.0026763704337987556,HFCs
ssp119,2040,0.0041013524830647245,-0.0025905435527760184,HFCs
ssp119,2041,0.004035859157173738,-0.0025004090867444166,HFCs
ssp119,2042,0.0039510224449402975,-0.0023826289930075563,HFCs
ssp119,2043,0.003836304069627938,-0.002273833088769463,HFCs
ssp119,2044,0.0036963391238053864,-0.0022019939474318575,HFCs
ssp119,2045,0.0035797552587967735,-0.0020781022103644443,HFCs
ssp119,2046,0.0034940116701267657,-0.001964896430658055,HFCs
ssp119,2047,0.0034095331780112006,-0.0018630108102893998,HFCs
ssp119,2048,0.003287285346687787,-0.001775765192212786,HFCs
ssp119,2049,0.003224110490430438,-0.0016893742744817349,HFCs
ssp119,2050,0.0031528958324297802,-0.0016113521591756864,HFCs
ssp119,2051,0.003022647094507289,-0.001556668767424169,HFCs
ssp119,2052,0.002948505415216258,-0.0014877675604741218,HFCs
ssp119,2053,0.0028925363233359216,-0.0014317434437305764,HFCs
ssp119,2054,0.0028371989330833627,-0.0013858450008119834,HFCs
ssp119,2055,0.0028006825243015905,-0.0013181804690942031,HFCs
ssp119,2056,0.002735066006134868,-0.0012806761800581306,HFCs
ssp119,2057,0.0026561456356740407,-0.0012553482740013723,HFCs
ssp119,2058,0.0026131173900300537,-0.0012129219190179644,HFCs
ssp119,2059,0.002577096592005868,-0.0011899708376312376,HFCs
ssp119,2060,0.0025296035326502386,-0.0011700136175947077,HFCs
ssp119,2061,0.0025217391344302268,-0.0011439931300246183,HFCs
ssp119,2062,0.0024809908526208435,-0.001121047921950434,HFCs
ssp119,2063,0.0024088917044489434,-0.001108467029910449,HFCs
ssp119,2064,0.002335747105998237,-0.0010980185724283505,HFCs
ssp119,2065,0.002306036093930728,-0.0010871355838473122,HFCs
ssp119,2066,0.0023081079175978373,-0.001079847108351326,HFCs
ssp119,2067,0.002301444016201014,-0.0010825048182632028,HFCs
ssp119,2068,0.0022240389501041254,-0.0010793128633599075,HFCs
ssp119,2069,0.0022184128670500133,-0.001086948221604651,HFCs
ssp119,2070,0.002203284167674264,-0.0011034383494360847,HFCs
ssp119,2071,0.002189926943707897,-0.001106801645534474,HFCs
ssp119,2072,0.0021887331614969326,-0.001108308891845541,HFCs
ssp119,2073,0.0021869911920068498,-0.0011146401136177472,HFCs
ssp119,2074,0.002166050343401636,-0.001120700807149187,HFCs
ssp119,2075,0.0021789781679956714,-0.0011399316926294656,HFCs
ssp119,2076,0.0021771070731395428,-0.0011596654908607744,HFCs
ssp119,2077,0.0022026631620428823,-0.0011644920906079216,HFCs
ssp119,2078,0.0022210777595608926,-0.0011693572872306685,HFCs
ssp119,2079,0.0022194373550252756,-0.0011817790693127354,HFCs
ssp119,2080,0.0022329289930042955,-0.0011816642072983374,HFCs
ssp119,2081,0.002256385427265299,-0.0011880961528802643,HFCs
ssp119,2082,0.002252167705401737,-0.0011950055488916796,HFCs
ssp119,2083,0.0022491171666430094,-0.0011969508945980944,HFCs
ssp119,2084,0.0022465584166447635,-0.0012119122715420932,HFCs
ssp119,2085,0.002247764095929572,-0.0012345919572279,HFCs
ssp119,2086,0.0022665138949935055,-0.001246495930839635,HFCs
ssp119,2087,0.0022883285200134278,-0.0012648106388256954,HFCs
ssp119,2088,0.0023101732719647645,-0.0012757139208813975,HFCs
ssp119,2089,0.002329327173132094,-0.0012802183794480867,HFCs
ssp119,2090,0.0023499447419153,-0.0012910858106243098,HFCs
ssp119,2091,0.002370200704492181,-0.001294185253634716,HFCs
ssp119,2092,0.002384234889451712,-0.0013005456691783748,HFCs
ssp119,2093,0.00239120994593596,-0.0013140448446217015,HFCs
ssp119,2094,0.002401166528558619,-0.0013197444234661817,HFCs
ssp119,2095,0.0024166501067800486,-0.0013251722070584397,HFCs
ssp119,2096,0.002426946337674066,-0.0013303986021137944,HFCs
ssp119,2097,0.0024411653370237335,-0.0013399842207066982,HFCs
ssp119,2098,0.0024433099275058545,-0.0013525099035417952,HFCs
ssp119,2099,0.0024550821221618327,-0.0013640942173075183,HFCs
ssp119,2100,0.0024686055486601074,-0.0013729377860583938,HFCs
ssp126,2020,0.0,0.0,HFCs
ssp126,2021,0.0003343133964054806,-0.0002632519258189157,HFCs
ssp126,2022,0.0006892139819632517,-0.0005436530454423318,HFCs
