percentile,scenario,year,variable,Delta T
recommendation,ssp534-over,2090,aerosol-total-with_bc-snow,0.33487256041705127
recommendation,ssp534-over,2091,aerosol-total-with_bc-snow,0.33548675247506443
recommendation,ssp534-over,2092,aerosol-total-with_bc-snow,0.33603870142277276
recommendation,ssp534-over,2093,aerosol-total-with_bc-snow,0.3365397116461704
recommendation,ssp534-over,2094,aerosol-total-with_bc-snow,0.3370071896711082
recommendation,ssp534-over,2095,aerosol-total-with_bc-snow,0.33745054273853253
recommendation,ssp534-over,2096,aerosol-total-with_bc-snow,0.3378751641458919
recommendation,ssp534-over,2097,aerosol-total-with_bc-snow,0.3382875077159035
recommendation,ssp534-over,2098,aerosol-total-with_bc-snow,0.3386925726455915
recommendation,ssp534-over,2099,aerosol-total-with_bc-snow,0.33909140175559693
recommendation,ssp534-over,2100,aerosol-total-with_bc-snow,0.33948161431278384
recommendation,ssp334,2019,aerosol-total-with_bc-snow,0.0
recommendation,ssp334,2020,aerosol-total-with_bc-snow,0.007178734496106731
recommendation,ssp334,2021,aerosol-total-with_bc-snow,-0.014619308684316379
recommendation,ssp334,2022,aerosol-total-with_bc-snow,-0.030538735743434353
recommendation,ssp334,2023,aerosol-total-with_bc-snow,-0.042089621210213646
recommendation,ssp334,2024,aerosol-total-with_bc-snow,-0.05034117550454564
recommendation,ssp334,2025,aerosol-total-with_bc-snow,-0.056140102647213586
recommendation,ssp334,2026,aerosol-total-with_bc-snow,-0.06010553873381308
recommendation,ssp334,2027,aerosol-total-with_bc-snow,-0.06270725750607775
recommendation,ssp334,2028,aerosol-total-with_bc-snow,-0.06428507443297238
recommendation,ssp334,2029,aerosol-total-with_bc-snow,-0.06508605284091218
recommendation,ssp334,2030,aerosol-total-with_bc-snow,-0.06531337041178786
recommendation,ssp334,2031,aerosol-total-with_bc-snow,-0.06510101129664547
recommendation,ssp334,2032,aerosol-total-with_bc-snow,-0.061139174157869514
recommendation,ssp334,2033,aerosol-total-with_bc-snow,-0.0543160510366506
recommendation,ssp334,2034,aerosol-total-with_bc-snow,-0.04529842351838531
recommendation,ssp334,2035,aerosol-total-with_bc-snow,-0.03461661101789015
recommendation,ssp334,2036,aerosol-total-with_bc-snow,-0.022572785891278313
recommendation,ssp334,2037,aerosol-total-with_bc-snow,-0.009464748142405388
recommendation,ssp334,2038,aerosol-total-with_bc-snow,0.004487741389024413
recommendation,ssp334,2039,aerosol-total-with_bc-snow,0.01915480357918742
recommendation,ssp334,2040,aerosol-total-with_bc-snow,0.03445589087127188
recommendation,ssp334,2041,aerosol-total-with_bc-snow,0.050274140674199774
recommendation,ssp334,2042,aerosol-total-with_bc-snow,0.06335869165906183
recommendation,ssp334,2043,aerosol-total-with_bc-snow,0.07445854868388158
recommendation,ssp334,2044,aerosol-total-with_bc-snow,0.08407560278082188
recommendation,ssp334,2045,aerosol-total-with_bc-snow,0.09258463843609022
recommendation,ssp334,2046,aerosol-total-with_bc-snow,0.10027703433793073
recommendation,ssp334,2047,aerosol-total-with_bc-snow,0.10737182379314475
recommendation,ssp334,2048,aerosol-total-with_bc-snow,0.1140539880957302
recommendation,ssp334,2049,aerosol-total-with_bc-snow,0.12042570365936367
recommendation,ssp334,2050,aerosol-total-with_bc-snow,0.1265603154126414
recommendation,ssp334,2051,aerosol-total-with_bc-snow,0.13255717210011964
recommendation,ssp334,2052,aerosol-total-with_bc-snow,0.13792105886315653
recommendation,ssp334,2053,aerosol-total-with_bc-snow,0.14281460456091233
recommendation,ssp334,2054,aerosol-total-with_bc-snow,0.14736755020166814
recommendation,ssp334,2055,aerosol-total-with_bc-snow,0.15168263543740768
recommendation,ssp334,2056,aerosol-total-with_bc-snow,0.15582686982788363
recommendation,ssp334,2057,aerosol-total-with_bc-snow,0.15983788354195871
recommendation,ssp334,2058,aerosol-total-with_bc-snow,0.1637566759641479
recommendation,ssp334,2059,aerosol-total-with_bc-snow,0.16761361365666538
recommendation,ssp334,2060,aerosol-total-with_bc-snow,0.1714063271979599
recommendation,ssp334,2061,aerosol-total-with_bc-snow,0.1751762100243469
recommendation,ssp334,2062,aerosol-total-with_bc-snow,0.17867879365767553
recommendation,ssp334,2063,aerosol-total-with_bc-snow,0.18198339235691097
recommendation,ssp334,2064,aerosol-total-with_bc-snow,0.1851354034704824
recommendation,ssp334,2065,aerosol-total-with_bc-snow,0.1881610713165333
recommendation,ssp334,2066,aerosol-total-with_bc-snow,0.19112193570152036
recommendation,ssp334,2067,aerosol-total-with_bc-snow,0.19404528606925475
recommendation,ssp334,2068,aerosol-total-with_bc-snow,0.1969258311060606
recommendation,ssp334,2069,aerosol-total-with_bc-snow,0.1997841920470983
recommendation,ssp334,2070,aerosol-total-with_bc-snow,0.2026304217752764
recommendation,ssp334,2071,aerosol-total-with_bc-snow,0.20547968227480295
recommendation,ssp334,2072,aerosol-total-with_bc-snow,0.20814858852175477
recommendation,ssp334,2073,aerosol-total-with_bc-snow,0.21068755698436437
recommendation,ssp334,2074,aerosol-total-with_bc-snow,0.21313292840317866
recommendation,ssp334,2075,aerosol-total-with_bc-snow,0.21550876598374147
recommendation,ssp334,2076,aerosol-total-with_bc-snow,0.2178403866910772
recommendation,ssp334,2077,aerosol-total-with_bc-snow,0.2201425873232603
recommendation,ssp334,2078,aerosol-total-with_bc-snow,0.2224214283245114
recommendation,ssp334,2079,aerosol-total-with_bc-snow,0.2246922961903518
recommendation,ssp334,2080,aerosol-total-with_bc-snow,0.22696185977001476
recommendation,ssp334,2081,aerosol-total-with_bc-snow,0.229227716855063
recommendation,ssp334,2082,aerosol-total-with_bc-snow,0.23140273859194482
recommendation,ssp334,2083,aerosol-total-with_bc-snow,0.23350652814908457
recommendation,ssp334,2084,aerosol-total-with_bc-snow,0.23556012629043105
recommendation,ssp334,2085,aerosol-total-with_bc-snow,0.23757019068329954
recommendation,ssp334,2086,aerosol-total-with_bc-snow,0.23955044714291074
recommendation,ssp334,2087,aerosol-total-with_bc-snow,0.24151187348569403
recommendation,ssp334,2088,aerosol-total-with_bc-snow,0.24346932182215442
recommendation,ssp334,2089,aerosol-total-with_bc-snow,0.24542790373394052
recommendation,ssp334,2090,aerosol-total-with_bc-snow,0.24737475536588444
recommendation,ssp334,2091,aerosol-total-with_bc-snow,0.24931549228794403
recommendation,ssp334,2092,aerosol-total-with_bc-snow,0.25118234477238816
recommendation,ssp334,2093,aerosol-total-with_bc-snow,0.2529851428809524
recommendation,ssp334,2094,aerosol-total-with_bc-snow,0.25475028118428766
recommendation,ssp334,2095,aerosol-total-with_bc-snow,0.256482179191138
recommendation,ssp334,2096,aerosol-total-with_bc-snow,0.2581929657158292
recommendation,ssp334,2097,aerosol-total-with_bc-snow,0.2598948745392977
recommendation,ssp334,2098,aerosol-total-with_bc-snow,0.26158278166560867
recommendation,ssp334,2099,aerosol-total-with_bc-snow,0.2632637673236542
recommendation,ssp334,2100,aerosol-total-with_bc-snow,0.2649481743101409
recommendation,ssp119,2019,aerosol-total-with_bc-snow,0.0
recommendation,ssp119,2020,aerosol-total-with_bc-snow,0.007178734496106731
recommendation,ssp119,2021,aerosol-total-with_bc-snow,0.018418362105668606
recommendation,ssp119,2022,aerosol-total-with_bc-snow,0.030950980975775977
recommendation,ssp119,2023,aerosol-total-with_bc-snow,0.044542939832395434
recommendation,ssp119,2024,aerosol-total-with_bc-snow,0.05898218291395996
recommendation,ssp119,2025,aerosol-total-with_bc-snow,0.0741521067362032
recommendation,ssp119,2026,aerosol-total-with_bc-snow,0.09000158956579596
recommendation,ssp119,2027,aerosol-total-with_bc-snow,0.10640731983632368
recommendation,ssp119,2028,aerosol-total-with_bc-snow,0.1234022642599516
recommendation,ssp119,2029,aerosol-total-with_bc-snow,0.14096015425890213
recommendation,ssp119,2030,aerosol-total-with_bc-snow,0.15904866112356097
recommendation,ssp119,2031,aerosol-total-with_bc-snow,0.17767794752272348
recommendation,ssp119,2032,aerosol-total-with_bc-snow,0.19259632108651248
recommendation,ssp119,2033,aerosol-total-with_bc-snow,0.20476154396634272
recommendation,ssp119,2034,aerosol-total-with_bc-snow,0.21488763463107746
recommendation,ssp119,2035,aerosol-total-with_bc-snow,0.22349067446127696
recommendation,ssp119,2036,aerosol-total-with_bc-snow,0.2309691959931629
recommendation,ssp119,2037,aerosol-total-with_bc-snow,0.23760560417690185
recommendation,ssp119,2038,aerosol-total-with_bc-snow,0.24363190725893424
recommendation,ssp119,2039,aerosol-total-with_bc-snow,0.2492219341264741
recommendation,ssp119,2040,aerosol-total-with_bc-snow,0.2545102039749294
recommendation,ssp119,2041,aerosol-total-with_bc-snow,0.2595555470896955
recommendation,ssp119,2042,aerosol-total-with_bc-snow,0.2639495214739157
recommendation,ssp119,2043,aerosol-total-with_bc-snow,0.267865727128007
recommendation,ssp119,2044,aerosol-total-with_bc-snow,0.27144115003700975
recommendation,ssp119,2045,aerosol-total-with_bc-snow,0.274768704523068
recommendation,ssp119,2046,aerosol-total-with_bc-snow,0.27792319577952324
recommendation,ssp119,2047,aerosol-total-with_bc-snow,0.28095615251063577
recommendation,ssp119,2048,aerosol-total-with_bc-snow,0.2839299034809096
recommendation,ssp119,2049,aerosol-total-with_bc-snow,0.286874835957551
recommendation,ssp119,2050,aerosol-total-with_bc-snow,0.28980601724604504
recommendation,ssp119,2051,aerosol-total-with_bc-snow,0.2927751427415528
recommendation,ssp119,2052,aerosol-total-with_bc-snow,0.29530670804151704
recommendation,ssp119,2053,aerosol-total-with_bc-snow,0.2975090501467924
recommendation,ssp119,2054,aerosol-total-with_bc-snow,0.29947401851856625
recommendation,ssp119,2055,aerosol-total-with_bc-snow,0.30126888562144816
recommendation,ssp119,2056,aerosol-total-with_bc-snow,0.3029293762590571
recommendation,ssp119,2057,aerosol-total-with_bc-snow,0.30449051505969005
recommendation,ssp119,2058,aerosol-total-with_bc-snow,0.30598436132920936
recommendation,ssp119,2059,aerosol-total-with_bc-snow,0.3074322239775806
recommendation,ssp119,2060,aerosol-total-with_bc-snow,0.3088489075926768
recommendation,ssp119,2061,aerosol-total-with_bc-snow,0.31024735556132726
recommendation,ssp119,2062,aerosol-total-with_bc-snow,0.3117002279996476
recommendation,ssp119,2063,aerosol-total-with_bc-snow,0.31319150947468827
recommendation,ssp119,2064,aerosol-total-with_bc-snow,0.31471184374965633
recommendation,ssp119,2065,aerosol-total-with_bc-snow,0.31625009188446895
recommendation,ssp119,2066,aerosol-total-with_bc-snow,0.3178092687470941
recommendation,ssp119,2067,aerosol-total-with_bc-snow,0.31937820205726336
recommendation,ssp119,2068,aerosol-total-with_bc-snow,0.3209541946082118
recommendation,ssp119,2069,aerosol-total-with_bc-snow,0.32254605950900456
recommendation,ssp119,2070,aerosol-total-with_bc-snow,0.32415701816108733
recommendation,ssp119,2071,aerosol-total-with_bc-snow,0.32577267773352214
recommendation,ssp119,2072,aerosol-total-with_bc-snow,0.3275962130034815
recommendation,ssp119,2073,aerosol-total-with_bc-snow,0.32958101579006177
recommendation,ssp119,2074,aerosol-total-with_bc-snow,0.3316900025226166
recommendation,ssp119,2075,aerosol-total-with_bc-snow,0.3338954558733753
recommendation,ssp119,2076,aerosol-total-with_bc-snow,0.33615759182892474
recommendation,ssp119,2077,aerosol-total-with_bc-snow,0.33846579773609825
recommendation,ssp119,2078,aerosol-total-with_bc-snow,0.34080235316513774
recommendation,ssp119,2079,aerosol-total-with_bc-snow,0.3431680593150745
recommendation,ssp119,2080,aerosol-total-with_bc-snow,0.34556028445685505
recommendation,ssp119,2081,aerosol-total-with_bc-snow,0.3479727951903973
recommendation,ssp119,2082,aerosol-total-with_bc-snow,0.3502800623515916
recommendation,ssp119,2083,aerosol-total-with_bc-snow,0.35251464971610913
recommendation,ssp119,2084,aerosol-total-with_bc-snow,0.35469227581637347
recommendation,ssp119,2085,aerosol-total-with_bc-snow,0.35683897883707405
