year,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,0.00012782948300979038,8.720730276637986e-06,9.439498923541538e-05,-1.3323848502656605e-07,-5.964606318221312e-06,1.6149874590351745e-06,-1.3473729576464747e-05,-5.426049775114362e-07,2.009959767469332e-05,0.0
1753,0.00035142833205650657,2.397499875049959e-05,0.0002595103480075344,-3.6734590454416296e-07,-1.4842110491383132e-05,4.4410989843710236e-06,-3.7028292693704816e-05,-1.4916466003296198e-06,5.522816647641962e-05,0.0
1754,0.000646855091738638,4.412948132392964e-05,0.0004776666382736276,-6.758748148481056e-07,-2.522317645519812e-05,8.171049163769449e-06,-6.811842121026556e-05,-2.745437331118934e-06,0.00010157309067515553,0.0
1755,0.0009962307843657061,6.796444575371354e-05,0.0007356612258142971,-1.0413493215405878e-06,-3.709598633921694e-05,1.2581048975572928e-05,-0.00010485483162475086,-4.228040094865189e-06,0.0001563130128799169,0.0
1756,0.0013862034892634851,9.456900281359392e-05,0.0010236344571392824,-1.449582301592401e-06,-4.75368525947279e-05,1.7501128739020167e-05,-0.0001458208194528701,-5.882744689074975e-06,0.00021732790689415872,0.0
1757,0.0018068017932059421,0.00012326288686236242,0.0013342229961701524,-2.08926258026848e-06,-6.973028879132145e-05,2.3302766128593727e-05,-0.00019096722578615648,-7.667308342747663e-06,0.00028530395754395893,0.0
1758,0.0022505786238143466,0.00015353804679916114,0.001661927592652004,-2.7032129608455644e-06,-9.046793635694268e-05,2.9267730575320353e-05,-0.00023824185791194804,-9.549963606323262e-06,0.00035621924954145945,0.0
1759,0.002711971921548475,0.00018501503009169911,0.0020026409738488275,-3.298179468939659e-06,-0.00010022909390013279,3.535686335847583e-05,-0.0002871185242273292,-1.1507092982375034e-05,0.00042933467467695576,0.0
1760,0.0031868272322659787,0.00021741041328262646,0.002353295305605195,-3.879198235621136e-06,-0.00011422922969084144,4.1540905691813015e-05,-0.0003372041393902205,-1.3521055721987617e-05,0.0005040980438724968,0.0
1761,0.0036720412112399834,0.00025051248126772705,0.00271159893981943,-4.448889760676255e-06,-0.00012274650344780926,4.779514336011768e-05,-0.00038819924831676986,-1.557867350228168e-05,0.000580083790715263,0.0
