year,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1750,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1751,0.0011261413959816205,7.682715392786278e-05,0.000831593013194766,-1.173793165656482e-06,-5.254648558007617e-05,1.4227580279514922e-05,-0.00011869972620601731,-4.7801955578159115e-06,0.00017707174003288794,0.0
1752,0.002252282791963241,0.0001536543078559439,0.0016631860263895315,-2.356811553364596e-06,-9.138714435473846e-05,2.8465569762688008e-05,-0.0002372793426307981,-9.559677923505992e-06,0.000353882963007766,0.0
1753,0.0033784241879448607,0.0002304814617838067,0.002494779039584298,-3.5289914184026697e-06,-0.00012421602294912087,4.266378654270529e-05,-0.0003556372703668569,-1.4338436109516125e-05,0.0005302049292042751,0.0
1754,0.004504565583926481,0.00030730861571166937,0.003326372052779064,-4.710396656326352e-06,-0.00016021547709253611,5.6872412526378055e-05,-0.0004738750883217824,-1.9116481110512118e-05,0.0007062663260276674,0.0
1755,0.005630706979908103,0.00038413576963975055,0.004157965065973829,-5.890995357065523e-06,-0.0001736988659405496,7.106635676029596e-05,-0.0005919420070416571,-2.389380743095403e-05,0.0008819527966963957,0.0
1756,0.0067568483758897215,0.0004609629235676134,0.004989558079168596,-8.826424574286596e-06,-0.0003001072687053258,8.963653608786775e-05,-0.0007187261809357575,-2.8671379284396923e-05,0.001077258467637966,0.0
1757,0.007882989771871345,0.0005377900774954762,0.005821151092363362,-1.0005423398537435e-05,-0.00033606636000948136,0.000103801116822339,-0.0008364513011859437,-3.344726886650969e-05,0.0012521905084254806,0.0
1758,0.009009131167852964,0.0006146172314235572,0.006652744105558247,-1.1183615685604097e-05,-0.0002848166124961885,0.0001179510158070433,-0.0009540055222012377,-3.8222439768057705e-05,0.0014267476230583735,0.0
1759,0.010135272563834584,0.0006914443853514201,0.007484337118753012,-1.2361001435485707e-05,-0.00034324907601514953,0.00013208623304201693,-0.0010713888439814571,-4.299689198904097e-05,0.0016009298115367012,0.0
1760,0.011261413959815315,0.0007682715392792827,0.00831593013194778,-1.352754813478304e-05,-0.00032535143403328797,0.0001461816775738589,-0.0011885504770730738,-4.777062000543298e-05,0.0017746229263397098,0.0
1761,0.012387555355796937,0.0008450986932073639,0.009147523145142548,-1.7256405336720333e-05,-0.00046315953605529053,0.00016443755509534374,-0.0013164588413563088,-5.178987807157842e-05,0.0019603203833124267,0.0
1762,0.013513696751778556,0.0009219258471352267,0.009979116158337312,-1.837600272509354e-05,-0.00044511844800795673,0.00017615522223471956,-0.0014309833850207788,-5.580697672280595e-05,0.0021159654022272845,0.0
1763,0.014639838147760174,0.0009987530010630897,0.010810709171532078,-1.949479378417352e-05,-0.0005030069680907092,0.00018785832687351998,-0.0015453293660457686,-5.982335220624753e-05,0.00227123633848852,0.0
1764,0.015765979543741794,0.0010755801549909524,0.011642302184726843,-2.061277851396123e-05,-0.0006115105327514612,0.0001995468690118079,-0.0016594967844314596,-6.383900452188868e-05,0.0024261331920963423,0.0
1765,0.016892120939723417,0.0011524073089190332,0.01247389519792161,-2.172995691445492e-05,-0.0004865434843499005,0.0002112208486495192,-0.0017734856401774796,-6.785393366972762e-05,0.0025806559630506824,0.0
