scenario,variable,near-term (2021-2040)-(1995-2014),mid-term (2041-2060)-(1995-2014),long-term (2081-2100)-(1995-2014)
ssp534-over,HFCs,0.03225425412637675,0.07050214596276384,0.03289841105118671
ssp534-over,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)",0.3490272831068709,0.545018477401065,0.2898462771164304
ssp534-over,aerosol-cloud_interactions,0.10905277926504076,0.2501667792214005,0.4481623294836719
ssp534-over,aerosol-radiation_interactions,0.08634293696048731,0.09110504770793539,0.05895409354036943
ssp534-over,aerosol-total,0.19539571622552776,0.34127182692933566,0.507116423024041
ssp534-over,aerosol-total-with_bc-snow,0.20622463107477929,0.33722831927855074,0.4756654566362927
ssp534-over,bc_on_snow,0.010828914849251303,-0.0040435076507850665,-0.03145096638774848
ssp534-over,ch4,0.056671397553346714,0.08312283401680998,-0.12614471617868908
ssp534-over,co2,0.5535585955188859,1.158133800430753,1.24025962973647
ssp534-over,contrails,0.017291128167400083,0.024278158732007844,0.005288557602053587
ssp534-over,h2o_stratospheric,0.005208931047995469,0.007640205281684749,-0.011594546049887345
ssp534-over,land_use,-0.012546621278182443,-0.026497836921576215,-0.04798419420140389
ssp534-over,n2o,0.03898588214082817,0.06722272928644095,0.1194834156184308
ssp534-over,o3,0.053877000352368254,0.054165178142940695,-0.09257287439235987
ssp534-over,other_wmghg,0.027002960303755236,0.02811034884031907,-0.05421011714920407
ssp534-over,solar,-0.0037998463666047127,-0.010422438561197286,-0.017638516328154358
ssp534-over,total,0.9280699594157116,1.6985882472076046,1.467014756366785
ssp534-over,total_anthropogenic,0.9462739048811769,1.7334037370879307,1.508190611621703
ssp534-over,total_natural,-0.018203945465464978,-0.03481548988032571,-0.0411758552549171
ssp534-over,volcanic,-0.014404099098860266,-0.02439305131912843,-0.02353733892676274
ssp334,HFCs,0.018696303862109954,0.013127820197949292,0.008244173564601307
ssp334,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)",0.16082181293527598,0.29943541594714657,0.370750012874874
ssp334,aerosol-cloud_interactions,0.01763793085550358,0.16926980604646646,0.2951512427190883
ssp334,aerosol-radiation_interactions,0.03307925204169215,0.07927055390568952,0.10070005052315849
ssp334,aerosol-total,0.0507171828971954,0.24854035995215573,0.39585129324224655
ssp334,aerosol-total-with_bc-snow,0.05727529765503281,0.24417234146719236,0.38095720335191596
ssp334,bc_on_snow,0.006558114757837338,-0.004368018484963446,-0.014894089890330794
ssp334,ch4,0.05931646079637859,0.05198962533442053,0.018894696966264446
ssp334,co2,0.5161782619421232,0.8259654848408965,0.977800693813616
ssp334,contrails,0.014733235248173174,0.025189745864056763,0.03054607114751584
ssp334,h2o_stratospheric,0.005452051081122775,0.004778607644591655,0.0017366992507533187
ssp334,land_use,-0.017381139743317134,-0.03228914124569664,-0.046786521224329705
ssp334,n2o,0.037625668582338165,0.06228012028355266,0.10318859715687999
ssp334,o3,0.02553375062175467,-0.00985437105241549,-0.03734606100790752
ssp334,other_wmghg,0.01293981534872532,-0.03140397965570299,-0.08060300983402865
ssp334,solar,-0.0037998463666047127,-0.010422438561197286,-0.017638516328154358
ssp334,total,0.6934694560668961,1.1060129436006467,1.3072125143659248
ssp334,total_anthropogenic,0.7116734015323615,1.1408284334809724,1.3483883696208419
ssp334,total_natural,-0.018203945465464978,-0.03481548988032571,-0.0411758552549171
ssp334,volcanic,-0.014404099098860266,-0.02439305131912843,-0.02353733892676274
ssp119,HFCs,0.018696303862109954,0.013127820197949292,0.008244173564601307
ssp119,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)",0.30545199589786154,0.3179570232158598,0.28496443987903336
ssp119,aerosol-cloud_interactions,0.22511762666211055,0.3803567163536788,0.4703157216934112
ssp119,aerosol-radiation_interactions,0.06995466836493935,0.07436399370626175,0.081545193321613
ssp119,aerosol-total,0.2950722950270496,0.4547207100599403,0.551860915015024
ssp119,aerosol-total-with_bc-snow,0.2833788889942129,0.425247731852625,0.5153464780864743
ssp119,bc_on_snow,-0.011693406032836931,-0.029472978207315443,-0.036514436928549866
ssp119,ch4,0.017196728198991096,-0.043857628979190516,-0.12580236675365444
ssp119,co2,0.44401228528665915,0.5548763286397399,0.42119916205357744
ssp119,contrails,-0.0006186113275292136,-0.00861596232952381,-0.011303595120977297
ssp119,h2o_stratospheric,0.001580631064468499,-0.004031158135214919,-0.011563079126071895
ssp119,land_use,-0.009127944174916455,-0.014046305235711418,-0.009931472024073448
ssp119,n2o,0.03515155422376219,0.05150132699675018,0.07577548359795379
ssp119,o3,-0.013819925157452256,-0.0765608998555238,-0.11282384501838759
ssp119,other_wmghg,0.01293981534872532,-0.03140397965570299,-0.08060300983402865
ssp119,solar,-0.0037998463666047127,-0.010422438561197286,-0.017638516328154358
ssp119,total,0.7524894769914559,0.8182939634179218,0.6191179006058944
ssp119,total_anthropogenic,0.7706934224569212,0.8531094532982478,0.6602937558608118
ssp119,total_natural,-0.018203945465464978,-0.03481548988032571,-0.0411758552549171
ssp119,volcanic,-0.014404099098860266,-0.02439305131912843,-0.02353733892676274
ssp460,HFCs,0.02834474453014237,0.06876000178575675,0.06334026649561339
ssp460,"Sum SLCF (Aerosols, Methane, Ozone, HFCs)",0.26707237104854814,0.4359839748580977,0.6481544733069382
ssp460,aerosol-cloud_interactions,0.011983864616976425,0.03130236534489339,0.22256052324942954
ssp460,aerosol-radiation_interactions,0.06799316666363338,0.05895009579420435,0.033962712855355265
ssp460,aerosol-total,0.07997703128060962,0.09025246113909757,0.25652323610478445
