year,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,0.00012782948300979038,8.810067281517643e-06,9.348339211177924e-05,-1.2410711582861822e-07,-6.225602595466156e-06,2.7626177637923165e-06,-1.4141051954822466e-05,-5.919501938017047e-07,1.9740124555478332e-05,0.0
1753,0.00035142833205650657,2.4220603707013483e-05,0.0002570041886370673,-3.42170212422791e-07,-1.549156418170864e-05,7.596999516214932e-06,-3.8862217607119324e-05,-1.6272989204750927e-06,5.4240433209658774e-05,0.0
1754,0.000646855091738638,4.45815530614232e-05,0.00047305368649478666,-6.295543957534113e-07,-2.632687966776147e-05,1.3977498984503371e-05,-7.149216762502283e-05,-2.995111043175116e-06,9.975649731223082e-05,0.0
1755,0.0009962307843657061,6.866068790653051e-05,0.0007285567527606432,-9.699814647451312e-07,-3.871921406267689e-05,2.1521299866825713e-05,-0.00011004804670488352,-4.612543668573473e-06,0.00015351741830020135,0.0
1756,0.0013862034892634851,9.553778767424427e-05,0.0010137489511993876,-1.3502365969635023e-06,-4.961694655185275e-05,2.9937649899596092e-05,-0.00015304298429587952,-6.417729293149519e-06,0.00021344108578220835,0.0
1757,0.0018068017932059421,0.00012452561793829114,0.0013213380553968178,-1.946077013665222e-06,-7.27815120933767e-05,3.986200344293126e-05,-0.0002004253867635441,-8.364583532282924e-06,0.0002802014124481516,0.0
1758,0.0022505786238143466,0.0001551109230149128,0.0016458779227974446,-2.517950905657554e-06,-9.44265873289362e-05,5.006574629475589e-05,-0.00025004142107995666,-1.0418449962418808e-05,0.0003498484133272443,0.0
1759,0.002711971921548475,0.00018691036317984548,0.001983300945673354,-3.072141966291872e-06,-0.00010461486874995713,6.04818930572114e-05,-0.00030133883460023555,-1.25535632795915e-05,0.00042165619885912417,0.0
1760,0.0031868272322659787,0.00021963761152591458,0.0023305689167467144,-3.6133411803234748e-06,-0.00011922761552072907,7.106039328428277e-05,-0.0003539050733827661,-1.4750678461783048e-05,0.0004950824556426301,0.0
1761,0.0036720412112399834,0.0002530787840946111,0.0026854123189615216,-4.1439894541499194e-06,-0.00012811758390735798,8.175897053005267e-05,-0.00040742585103231845,-1.6995418731953593e-05,0.0005697092283469318,0.0
