year,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1750,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1751,0.0011261413959816205,7.761418753716156e-05,0.0008235621017554556,-1.0933483996003372e-06,-5.484578856622689e-05,2.4337876926580583e-05,-0.00012457864660089975,-5.214912881626742e-06,0.0001739048840716569,0.0
1752,0.002252282791963241,0.00015522837507454367,0.0016471242035109113,-2.1952897796858416e-06,-9.538601757320373e-05,4.869355996724093e-05,-0.0002490312346634334,-1.042904771248985e-05,0.0003475539103267956,0.0
1753,0.0033784241879448607,0.00023284256261170522,0.002470686305266367,-3.2871354446470456e-06,-0.00012965140591225804,7.298120732400941e-05,-0.0003732511543139122,-1.5642392505812466e-05,0.0005207224299618057,0.0
1754,0.004504565583926481,0.0003104567501488668,0.0032942484070218226,-4.3875742305901355e-06,-0.0001672261062685834,9.728666079485307e-05,-0.0004973450154261332,-2.085495925612989e-05,0.0006936350404008247,0.0
1755,0.005630706979908103,0.00038807093768624887,0.0041178105087772785,-5.487261754585458e-06,-0.0001812994945409052,0.00012156699948078032,-0.0006212595130630688,-2.606674196813048e-05,0.0008661794300867744,0.0
1756,0.0067568483758897215,0.00046568512522341055,0.004941372610532734,-8.221514202710545e-06,-0.0003132392133345844,0.0001533333806994975,-0.0007543230111770136,-3.1278792542228806e-05,0.0010579921386382493,0.0
1757,0.007882989771871345,0.000543299312760572,0.00576493471228819,-9.319711496187191e-06,-0.00035077178467460095,0.00017756348981569982,-0.0008778787818638112,-3.648900785701112e-05,0.0012297955911141829,0.0
1758,0.009009131167852964,0.0006209135002979543,0.006588496814043765,-1.0417157527716386e-05,-0.00029727947619465295,0.00020176848414696518,-0.00100125518907549,-4.169843913346496e-05,0.001401230822837088,0.0
1759,0.010135272563834584,0.0006985276878351157,0.00741205891579922,-1.1513852297297315e-05,-0.00035826879839548614,0.00022594836369335542,-0.0011244522328118583,-4.690708637159033e-05,0.0015722978338070205,0.0
1760,0.011261413959815315,0.0007761418753722772,0.008235621017554677,-1.2600450860019784e-05,-0.00033958800029576703,0.0002500602075558952,-0.001247416608136297,-5.2114943544998436e-05,0.0017428845179851507,0.0
1761,0.012387555355796937,0.0008537560629096595,0.009059183119310131,-1.607375448229482e-05,-0.00048342624071802637,0.00028128894017069903,-0.0013816599751654995,-5.6499718270261095e-05,0.0019252608515618343,0.0
1762,0.013513696751778556,0.0009313702504468211,0.009882745221065588,-1.7116621359177622e-05,-0.0004645957197112336,0.0003013333282607369,-0.0015018566521784087,-6.088213720054925e-05,0.0020781222226970136,0.0
1763,0.014639838147760174,0.0010089844379839825,0.010706307322821042,-1.8158737167756333e-05,-0.0005250172968694644,0.00032135280555499745,-0.0016218659227610665,-6.526376719721392e-05,0.002230616201494491,0.0
1764,0.015765979543741794,0.001086598625521144,0.0115298694245765,-1.920010190803182e-05,-0.0006382687065569265,0.0003413473720535885,-0.001741687786913665,-6.964460826023924e-05,0.002382742787954475,0.0
1765,0.016892120939723417,0.001164212813058526,0.012353431526331957,-2.0240715580002465e-05,-0.0005078334121939442,0.0003613170277564,-0.0018613222446358137,-7.402466038962334e-05,0.002534501982076895,0.0
1766,0.01801826233570504,0.0012418270005956876,0.01317699362808741,-2.451407495773985e-05,-0.0007819170425686907,0.0003961124037029012,-0.001999212804084241,-7.840601677637271e-05,0.002724629141408625,0.0
1767,0.019144403731686657,0.0013194411881328491,0.014000555729842866,-2.555321079886345e-05,-0.0007072374981058157,0.00041603223781426816,-0.00211847244894593,-8.27844923818499e-05,0.002875644662205977,0.0
1768,0.02027054512766828,0.0013970553756702314,0.014824117831598324,-2.659159557168301e-05,-0.0008703436456228272,0.0004359271611298855,-0.0022375446873773683,-8.716217905369225e-05,0.003026292790665751,0.0
1769,0.0213966865236499,0.001474669563207393,0.015647679933353774,-2.762922927619873e-05,-0.0009659115266614877,0.0004557971736497667,-0.002356429519378357,-9.153907679190025e-05,0.0031765735267878245,0.0
1770,0.02252282791963152,0.0015522837507445544,0.016471242035109232,-2.8666111912411412e-05,-0.0010966943964721592,0.0004756422753739281,-0.0024751269449492944,-9.591518559647312e-05,0.0033264868705723213,0.0
1771,0.023648969315613142,0.0016298979382819367,0.01729480413686469,-3.467123434882097e-05,-0.0004381997091336004,0.0005922426715841617,-0.002816695879085226,-0.0001163054753325098,0.003957453020016222,0.0
1772,0.02477511071159476,0.0017075121258190984,0.018118366238620263,-3.727329216378733e-05,-0.0004602558179366508,0.0006931533002299777,-0.0031385533113489445,-0.00013669201046967493,0.0045470922224720685,0.0
1773,0.02590125210757638,0.0017851263133562602,0.018941928340375717,-3.9874101007448734e-05,-0.00047641860954604004,0.0007939973685320179,-0.00346010223876022,-0.00015707699874624757,0.005136117565434123,0.0
1774,0.027027393503557998,0.0018627405008936422,0.019765490442131176,-4.247366087980437e-05,-0.0005043029277189934,0.0008947748764902852,-0.003781342661319235,-0.0001774604401622507,0.005724529048902187,0.0
1775,0.028153534899539617,0.0019403546884308035,0.02058905254388663,-4.507197178085537e-05,-0.000523358121405438,0.0009954858241048392,-0.004102274579026182,-0.00019784233471766653,0.00631232667287644,0.0
1776,0.029279676295521237,0.002017968875967965,0.021412614645642085,-5.125792415961934e-05,-0.0006887135428686437,0.0011126118365754622,-0.0044433670876384435,-0.000218225020400466,0.006942401318520662,0.0
