Species,Total
NH3,-0.030953762808309592
BC,0.06545854782200379
OC,-0.19344717043700396
SO2,-0.8691364560643726
VOC,0.44796922627536695
NOx,-0.28553297816848494
HC,0.16737240230899475
N2O,0.23629329061769866
CH4,1.2053613885037782
CO2,2.0575541755746745
