Species,95-50
Ammonia,0.0072741342599527544
Black carbon,0.3504553346714556
Organic carbon,0.22099244110230568
SO$_2$,0.660371644164521
VOC + CO,0.22692575214376465
NO$_x$,0.28472548848871687
CFC + HCFC,0.1925518843671143
N$_2$O,0.10182460784414919
CH$_4$,0.3005691138789426
CO$_2$,0.24690650106896092
