,,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP3-7.0-LowSLCF-HighCH$_4$,SSP3-7.0-LowSLCF-LowCH$_4$,SSP5-8.5
2040,Aerosols,0.2545102039749294,0.21074298203867753,0.050570759248042885,0.03445589087127188,-0.047186850300617866,0.07481574362379706,0.07481574362379706,0.12867059576800421
2040,HFCs,0.007460977099114405,0.017515392864394085,0.02653626118364341,0.007460977099114405,0.02443601746087065,0.02443601746087065,0.02448671835484506,0.03749454155149575
2040,Methane (CH$_4$),-0.020352966873393774,-0.010873257755030508,0.0422289324027752,0.04875584899111857,0.07068473009962611,0.07068473009962611,-0.02082916992838163,0.057006557236534694
2040,Ozone (O$_3$),-0.07059218769590908,-0.05102679765625043,0.015452950196509663,-0.014381349023921075,0.06483465706865399,0.024496663182758394,-0.031653507418056726,0.03651821749457024
2040,Scenario total,0.42093532782666876,0.5021865440559325,0.5622087179408526,0.4818259490059196,0.6149100613053486,0.6966138452354094,0.5415592849770408,0.7812811734549165
2100,Aerosols,0.3907681238474756,0.39819466617017046,0.2587946342749746,0.2649481743101409,-0.032590073021183996,0.25230296277019526,0.25230296277019526,0.2203480994764594
2100,HFCs,-0.000936135718442704,0.0012444385903478822,0.053755749248259585,-0.000936135718442704,0.08793570911234107,0.08793570911234107,0.0764512826995578,0.20014478832369292
2100,Methane (CH$_4$),-0.13640400810610182,-0.12949863776784332,0.008605923947457794,0.004981186976882934,0.25361478461266185,0.25361478461266185,-0.10100181248965026,0.14229753985270915
2100,Ozone (O$_3$),-0.13024197228192141,-0.1288631258959523,-0.0354545793340002,-0.05908507030123797,0.21727090745536193,0.14478681738317478,-0.08240588599078705,0.0553209098524145
2100,Scenario total,0.19675184082398078,0.5766622037997109,1.6451678496930258,0.8621847205813078,2.843731612347189,3.0466612549498135,2.4034912116407723,3.718986983614383
