year,BC,CH4,CO2,HC,N2O,NH3,NOx,OC,SO2,VOC
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,1.8598656477227747e-06,0.00010870796352870406,0.00014721208074154656,0.0,1.0043041866259881e-05,-6.248793774286077e-07,-1.5344124183080624e-07,-1.5516731505112775e-05,-6.869010859116783e-06,2.3147270301742e-05
1752,5.113900167313035e-06,0.00029882467731374366,0.0004046677087521912,0.0,2.760707355302627e-05,-1.7176224940971127e-06,-4.229968427841079e-07,-4.263786483102684e-05,-1.7090396205162988e-05,6.359491296673989e-05
1753,9.407781382759704e-06,0.0005499640976528297,0.0007447601493081279,0.0,5.080871978817096e-05,-3.1609742402171225e-06,-7.781722299119064e-07,-7.842850491427412e-05,-2.904006225481802e-05,0.00011694670728361784
1754,1.4483460023587904e-05,0.0008469024766922738,0.0011468734371619317,0.0,7.82415266920257e-05,-4.867372898822182e-06,-1.1988147058499617e-06,-0.00012071016892373199,-4.270386364825633e-05,0.0001799494341800759
1755,2.0144951272605205e-05,0.001178270926941928,0.001595611850336903,0.0,0.0001088551736686854,-6.771427658651429e-06,-1.6685656281908071e-06,-0.00016784932322004537,-5.4714270360231495e-05,0.00025015861333743146
1756,2.6819880731868653e-05,0.001535579115827797,0.0020794777994768052,0.0,0.00014186527691833426,-8.824430237342078e-06,-2.4047094449380953e-06,-0.0002197878736773459,-8.025549890194125e-05,0.00032836227761986927
1757,3.368079882755294e-05,0.0019124862260256417,0.0025898845639624394,0.0,0.00017668603672781194,-1.0989751985165903e-05,-3.110989004259491e-06,-0.0002741610022604419,-0.000104112110679247,0.0004099262372413244
1758,4.068256151622234e-05,0.002304256557353807,0.0031204190692141493,0.0,0.0002128799429677459,-1.3240161961270211e-05,-3.7951841097103027e-06,-0.00033036204359829967,-0.00011532037991533648,0.0004939983759508977
1759,4.7791440541641026e-05,0.0027073530066418538,0.003666291378040468,0.0,0.00025012021851825996,-1.5555321130303335e-05,-4.463102846263361e-06,-0.0003879378196353407,-0.00013140697079737964,0.0005799421173401163
1760,5.49789523029342e-05,0.0031191335056566074,0.004223923607557251,0.0,0.0002881627745286602,-1.792003616597728e-05,-5.1177694801852205e-06,-0.0004465431276212598,-0.0001411743901262622,0.000667266915049587
1761,6.277286416560217e-05,0.003537624341224123,0.004790642959804933,0.0,0.0003268252684787563,-2.0224425381095076e-05,-6.097806863014923e-06,-0.00050735383908373,-0.0001665719829709382,0.0007572393300807482
1762,7.01698753809918e-05,0.003961350885837236,0.005364452497515973,0.0,0.00036597146613772855,-2.2484564585437663e-05,-6.980751559751636e-06,-0.0005680965074896895,-0.00018330642423059547,0.0008453105729187204
1763,7.727172732064329e-05,0.004389211198576719,0.005943859974765521,0.0,0.0004054995641194554,-2.4712641483153028e-05,-7.79138541576474e-06,-0.000628795830045864,-0.0002034920155081985,0.0009319549489158723
1764,8.415437862289322e-05,0.004820381638717423,0.00652775001912825,0.0,0.00044533346994628654,-2.691775306868811e-05,-8.548212591148273e-06,-0.0006894700910630104,-0.000232887008415372,0.0010175263867712825
1765,9.08745351567033e-05,0.00525424638426802,0.007115288685842738,0.0,0.0004854162905826336,-2.9106688414955014e-05,-9.265049494636517e-06,-0.0007501327866828145,-0.0002386689980846908,0.0011022889268233042
1766,9.860939008632714e-05,0.005690344801117509,0.007705852185227523,0.0,0.0005257054701060474,-3.1284764024757876e-05,-1.0406003128569594e-05,-0.0008130910453146743,-0.00027744565416904887,0.001191595281858388
1767,0.00010597068134432793,0.00612833214182182,0.00829897366106596,0.0,0.0005661691588442369,-3.345544504334098e-05,-1.1411029819951877e-05,-0.000875478027400462,-0.00029725371431774984,0.0012791405267072458
1768,0.00011305415673793554,0.006567950198074801,0.008894303448248165,0.0,0.0006067835020882978,-3.562156521415057e-05,-1.2314737160840558e-05,-0.000937445081209854,-0.0003326573557142366,0.0013653622070016313
1769,0.00011993129960323667,0.007009005385925476,0.009491579395821284,0.0,0.0006475306154839944,-3.778523668797728e-05,-1.3142966556163337e-05,-0.0009991050684091953,-0.0003712912098548642,0.0014505868062446993
1770,0.00012665547424257385,0.007451352381273479,0.010090604706214073,0.0,0.0006883970731885779,-3.994803279210223e-05,-1.3915013412504864e-05,-0.0010605421119850719,-0.0004167724227230736,0.001535057875027663
1771,0.00014066231940528963,0.007894881899941298,0.010691231387038104,0.0,0.0007293727789263842,-4.4030125771606546e-05,-1.5342636511164146e-05,-0.0011496016887534472,-0.00036855008449493697,0.001683035532237691
1772,0.00015892721384201962,0.008339511572639548,0.011293347893986155,0.0,0.0007704501229676488,-4.9550122933604036e-05,-1.6783988175497635e-05,-0.0012569216996380663,-0.00033541222061660544,0.001873111647508283
1773,0.0001803828408443036,0.008785179130991453,0.011896869903361876,0.0,0.0008116233526159358,-5.614879792506122e-05,-1.823616306734403e-05,-0.0013779222982531454,-0.00031280587822655456,0.002094706691552902
1774,0.0002042321320156933,0.009231837319302064,0.012501733421609013,0.0,0.0008528881021292696,-6.355788614061702e-05,-1.96969886826045e-05,-0.0015091831871760855,-0.0002995357386113359,0.002339919828382618
1775,0.00022987982257385191,0.009679450094998206,0.013107889639955683,0.0,0.000894241041695709,-7.15770471929688e-05,-2.1164839759157962e-05,-0.0016481499439620025,-0.0002921385390272348,0.0026028504937610176
1776,0.0002581408435825655,0.010127989791361685,0.01371530109219407,0.0,0.0009356796153110772,-8.005694217576135e-05,-2.314216696244916e-05,-0.00179546422666814,-0.00030745450407330315,0.0028848007023837105
1777,0.0002871073583759874,0.010577434998838802,0.014323938785554515,0.0,0.0009772018450426288,-8.888547707118461e-05,-2.499791226203513e-05,-0.001946511271410252,-0.00032107962976348886,0.003175335073333935
1778,0.0003166114495748672,0.011027768982934697,0.014933780058221555,0.0,0.0010188061848653007,-9.797920881064287e-05,-2.6763421348264175e-05,-0.002100388732078906,-0.0003323400753385363,0.0034723583644681224
1779,0.000346527661299128,0.011478978502793363,0.015544806979457631,0.0,0.0010604914115157126,-0.00010727580963307562,-2.846209816118962e-05,-0.0022564224292463105,-0.0003458778996511168,0.0037743052515993893
1780,0.0003769938188788266,0.011931052928982997,0.01615700515491001,0.0,0.0011022565429882984,-0.00011672872007249948,-3.0112727955743176e-05,-0.0024146786125899314,-0.00035528927141831605,0.0040806223013448925
1781,0.00040445522158783756,0.01238398358470793,0.01677036283448131,0.0,0.0011441007776727345,-0.0001248477653810094,-3.2216806442104716e-05,-0.0025603623246316983,-0.0003901274984626023,0.004354538009868645
1782,0.0004280956444020875,0.01283776325386063,0.01738487024613502,0.0,0.0011860234489051687,-0.00013197213200348893,-3.4022325619230303e-05,-0.0026934762478021987,-0.00041735651407973285,0.004597077647992979
