,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1750,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1751,0.0011261413959816203,7.623470846332012e-05,0.0008310443011772666,-1.171230915490948e-06,-5.0818622362595975e-05,1.4823195041750566e-05,-0.00011527389558168042,-4.780195557815912e-06,0.00017692015493723392,0.0
1752,0.0022522827919632406,0.0001524694169268569,0.0016620886023545332,-2.351666915476571e-06,-8.838210065794408e-05,2.9657235051726425e-05,-0.00023043114790879618,-9.559677923505992e-06,0.00035358001583625287,0.0
1753,0.003378424187944861,0.00022870412539017704,0.0024931329035317996,-3.5212880519915076e-06,-0.00012013148152439728,4.444983733830635e-05,-0.0003453731097750812,-1.4338436109516125e-05,0.0005297510387929946,0.0
1754,0.004504565583926481,0.0003049388338534972,0.0033241772047090663,-4.7001144235058434e-06,-0.000154947181283916,5.9253284593108774e-05,-0.00046019842838690184,-1.911648111051212e-05,0.0007056617154411998,0.0
1755,0.005630706979908102,0.00038117354231703395,0.0041552215058863326,-5.878136018409928e-06,-0.00016798720172431328,7.40414354703196e-05,-0.0005748577801409553,-2.389380743095403e-05,0.0008811977868962734,0.0
1756,0.006756848375889722,0.0004574082507803541,0.004986265807063599,-8.807157544550663e-06,-0.00029023897199299554,9.338902548386659e-05,-0.0006979827955897042,-2.8671379284396923e-05,0.0010763362632939485,0.0
1757,0.007882989771871343,0.0005336429592436743,0.005817310108240866,-9.98358275530554e-06,-0.0003250156361469323,0.00010814658360595988,-0.0008123102136286245,-3.344726886650969e-05,0.0012511185507095765,0.0
1758,0.009009131167852963,0.000609877667707211,0.006648354409418253,-1.1159203189450502e-05,-0.0002754511117776006,0.000122888845350449,-0.0009264716648099317,-3.8222439768057705e-05,0.0014255262329321153,0.0
1759,0.010135272563834584,0.0006861123761705311,0.007479398710595519,-1.2334018846984673e-05,-0.000331962166028052,0.0001376158107173716,-0.0010404671491334489,-4.2996891989040965e-05,0.0015995593099616214,0.0
1760,0.011261413959815315,0.0007623470846338513,0.008310443011772787,-1.349801911428629e-05,-0.000314653044418556,0.00015230133836092349,-0.001154247342996251,-4.7770620005432986e-05,0.0017731037319951516,0.0
1761,0.012387555355796935,0.000838581793097388,0.009141487312950052,-1.72187366666989e-05,-0.00044792966259485557,0.00017132146882885057,-0.0012784641032170653,-5.178987807157842e-05,0.001958642219689243,0.0
1762,0.013513696751778556,0.0009148165015607082,0.00997253161412732,-1.8335890107809823e-05,-0.0004304818117944316,0.00018352967725424003,-0.0013896833175310447,-5.580697672280595e-05,0.0021141539961958213,0.0
1763,0.014639838147760176,0.0009910512100240283,0.010803575915304585,-1.9452238979747984e-05,-0.00048646680886396725,0.00019572271354339238,-0.0015007291227587846,-5.9823352206247545e-05,0.002269292010288216,0.0
1764,0.015765979543741794,0.0010672859184873485,0.011634620216481853,-2.0567783282514324e-05,-0.0005914024980279442,0.00020790057769637333,-0.0016116015189004617,-6.383900452188867e-05,0.002424056261966639,0.0
1765,0.016892120939723417,0.0011435206269508852,0.012465664517659118,-2.1682523016107108e-05,-0.00047054468669421867,0.00022006326971311574,-0.0017223005059557148,-6.785393366972762e-05,0.0025784467512310187,0.0
1766,0.018018262335705037,0.0012197553354142054,0.013296708818836385,-2.626028671708179e-05,-0.000724503155920433,0.00024125569523823277,-0.0018498920506164885,-7.187005835149113e-05,0.0027718704533099417,0.0
1767,0.019144403731686657,0.0012959900438775254,0.014127753120013653,-2.7373443349463136e-05,-0.0006553071124778833,0.00025338804298256803,-0.0019602442194993006,-7.588354239511692e-05,0.002925504374979362,0.0
1768,0.02027054512766828,0.0013722247523410623,0.01495879742119092,-2.8485795412671793e-05,-0.000806436851558506,0.00026550521859068296,-0.002070422979295873,-7.989630327094634e-05,0.003078764534234725,0.0
1769,0.0213966865236499,0.0014484594608043823,0.015789841722368185,-2.959734290670796e-05,-0.0008949874619783518,0.00027760722206258596,-0.0021804283300060207,-8.39083409789799e-05,0.003231650931075905,0.0
1770,0.02252282791963152,0.0015246941692677026,0.01662088602354545,-3.070808583157251e-05,-0.001016167327308936,0.0002896940533982868,-0.0022902602716301135,-8.791965551921685e-05,0.003384163565503028,0.0
1771,0.02364896931561314,0.0016009288777312392,0.01745193032472272,-3.7140971315652584e-05,-0.00040602398324476885,0.0003607105360678177,-0.002606317499107225,-0.00010661020215561188,0.004026069797841895,0.0
1772,0.024775110711594762,0.0016771635861945594,0.018282974625900103,-3.992838158478313e-05,-0.00042646057634247036,0.0004221710297137911,-0.0029041354723415543,-0.00012529730717807122,0.004625932530924029,0.0
1773,0.02590125210757638,0.0017533982946578795,0.019114018927077373,-4.271445391460223e-05,-0.00044143658133018356,0.00048359098420506326,-0.0032016679828812938,-0.0001439829942868854,0.005225170761035291,0.0
1774,0.027027393503558,0.0018296330031214163,0.01994506322825464,-4.5499188305109033e-05,-0.00046727343539161614,0.0005449703995416354,-0.0034989150307266135,-0.00016266726348207556,0.005823784488175482,0.0
1775,0.02815353489953962,0.0019058677115847366,0.020776107529431903,-4.828258475630473e-05,-0.00048492946181246435,0.0006063092757235439,-0.003795876615877691,-0.00018135011476362549,0.006421773712344787,0.0
1776,0.02927967629552124,0.0019821024200480566,0.02160715183060917,-5.490918124687583e-05,-0.0006381433172172356,0.0006776458895355066,-0.00411149300194605,-0.00020003369122384868,0.00706277298343752,0.0
