,CO2,CH4,N2O,HC,NOx,VOC,SO2,OC,BC,NH3
CO2,1.0,0.01469145519046438,0.0,0.0002511580351380953,-0.0,0.1578133634577396,-0.0,-0.0,0.0,-0.0
CH4_lifetime,0.0,0.7069486509777299,-0.14950927404857392,-0.24094065874750198,1.4257373155967925,0.36895184402901104,-0.0,-0.0,0.0,-0.0
Strat_H2O,0.0,0.04185820024010864,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
Aerosol,0.0,-0.002221212150215233,-0.008689586406396523,-0.038229236964891146,0.034387300488300375,-0.005842959229790572,0.2497063692650895,0.34508118983786396,1.3463824565156965,1.0
Cloud,0.0,0.015421282301294945,0.17667684375688641,-0.08241259465465589,0.05424195387361748,0.020175164835569654,0.7502936307349105,0.654918810162136,-0.3463824565156964,-0.0
O3,0.0,0.2233016234406173,0.10859178875766418,-0.7665960013215735,-0.5143665699587102,0.4589025869074703,-0.0,-0.0,0.0,-0.0
HC,0.0,0.0,0.0,1.9397594267705442,-0.0,0.0,-0.0,-0.0,0.0,-0.0
N2O,0.0,0.0,0.8729302279404199,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
HFCs,0.0,0.0,0.0,0.18816790688294,-0.0,0.0,-0.0,-0.0,0.0,-0.0
