"em","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"CH4","3B_Manure-management","ktCH4",7475.14259146125,7803.84646555923,7919.60245794319,7984.61544657491,8071.04462352075,8018.90244708677,7973.85762665265,8142.44854730018,8256.08789265974,8413.42411845847,8625.37591396449,8617.27977165648,8614.95376795023,8615.16297569483,8725.53958217024,8750.24303694168,8854.36690021632,8828.70835042839,8877.26368518655,8949.94149545932,8939.53641026027,8896.73367772338,8741.30332246096,8723.32983023724,8847.07392427053,8870.8042600343,8804.14728867033,8833.93205776061,8963.36616466413,8972.641398734,9008.600385033,9128.415178211,9221.64363959,9323.909916191,9301.925140243,9486.82658213,9584.633200121,9876.531684131,9786.581113575,9840.895478775,9948.49158556,10001.399889781,10054.996735865,10003.721560931,10085.143427644,10230.561043806,10278.4819685941,10317.2258879666,10399.7889901484,10399.7890764184
"CH4","3D_Rice-Cultivation","ktCH4",20203.4886464034,20556.5732781652,20216.2149358304,20918.9074485309,21094.3948615289,21733.4804921766,21666.2258520505,21853.447443939,21942.1142177252,21600.816078139,22059.4633542944,22197.7173111943,21640.8986559326,21612.8136662405,21949.1304528206,21868.3695927834,21865.6438748925,21440.8656064478,22178.662671275,22596.7555424972,22384.8733407442,22307.086056132,22441.01386007,22210.141712351,22423.730232456,22889.818873016,23175.34653334,23184.625511673,23127.523106606,24026.145533425,23683.440054945,23177.288062142,22786.11450803,22651.233315346,23136.007441303,23766.659695266,23841.511907104,23919.525523983,24501.701501173,24506.074453296,25012.85899991,25067.161527305,25058.143117471,25317.192944219,25247.740683594,25261.067927586,25148.647542478,25112.849809741,25126.249770027,25126.249770027
"CH4","3D_Soil-emissions","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","3E_Enteric-fermentation","ktCH4",73342.8729506994,74367.5783954868,75613.3281260261,76578.7381558775,78400.4395386882,79728.5028712768,80407.9563471757,80658.384388374,80802.0881895735,81268.2723196034,82245.6384028057,83043.4965525293,83998.2313727785,84511.4487161586,85001.8921686358,85370.1631629844,86059.2018587458,86134.4648967042,86630.8347422468,87814.9951205814,88369.0360974523,88230.6703086165,87898.3337204549,86562.5786269662,87220.2574291476,87394.3589636623,86888.8294624981,86465.4187233556,86209.0209163982,86443.9245140233,86813.076813442,87456.985477574,88264.695515211,89918.78094953,91319.581856123,92706.2970664139,93704.96243031,94915.673070482,95443.970136984,95885.154216796,95945.449065972,96222.544681329,95229.5481359811,95653.948682962,96514.627367442,96528.94512545,96724.4290498573,97063.3193784998,97165.2539227761,97165.2557722954
"CH4","3I_Agriculture-other","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","5A_Solid-waste-disposal","ktCH4",23342.5891289313,25799.9383871502,26163.6749989351,26529.8685385348,26898.5505111769,27269.6257344583,27658.7094900827,28051.4392121968,28446.8837335815,28845.032129997,29234.154781773,29593.2162761513,29980.1690722552,30313.0592009266,30673.8680048765,31022.973941866,31479.6420730784,31893.7042234025,32313.1935012683,32748.7908757108,32761.2007613335,33508.8080364882,33889.2789239258,34477.9506972694,34747.2788501042,34885.1161319865,35640.5606828025,36028.8707239433,35533.0435778395,35325.8354208373,35301.3099764874,34688.8794377124,34403.6574785301,35030.0285767034,35570.8734304921,35421.5543903811,36559.0129824575,36790.030376516,36331.9351174105,35781.2469587432,36903.3655234929,37740.3012368142,37368.9005354375,37460.698491406,37824.4145038509,38408.725210147,38631.0629999707,38928.3587954861,39314.9885760731,39632.7135201548
"CH4","5C_Waste-combustion","ktCH4",259.832523402376,274.338262796034,287.679742276055,301.76334889349,317.131300087145,334.681070986569,353.720919438997,372.656298701441,392.411042784442,412.180817573289,431.331863544367,451.474076084577,471.114635744382,490.841512342191,509.88279498875,530.964730222475,553.127987935453,575.016731653162,597.548060174359,620.459215307649,646.108621963034,674.499524854578,701.093598712588,736.438009822356,766.159603227302,801.050758502484,867.935100000555,899.010908035857,932.495390945398,958.351553630028,975.095278657519,1025.2373174862,1056.76184053629,1100.19592951207,1145.7528083484,1190.62750515263,1231.76294237453,1273.02940291033,1314.38853066087,1356.46630838491,1401.23657479993,1440.61577490922,1481.77923744583,1521.08240040801,1561.81777401344,1561.62726551808,1560.64125832324,1560.3400213385,1560.80697953783,1560.80697953783
"CH4","5D_Wastewater-handling","ktCH4",17245.3542325623,17606.0351421467,18065.5416046971,18571.7110296938,18999.320605355,19134.7220109382,19702.0946313756,20129.6538875198,20585.3436862085,21051.78908474,21495.2198012854,21884.1795617277,22294.1912673421,22857.5700290334,23465.2834820809,23977.8139500666,24485.955463931,25116.413146983,25708.0160904966,26304.1871401505,26656.3344791941,26925.3529638154,27200.2660512584,27502.1579773511,27984.0234453175,28591.3164935258,28898.3884997414,29472.4280299941,29791.3317662823,30349.7372400302,30936.1626799355,31438.0119947076,32120.8627900828,32716.4973164093,33482.7876471944,33859.3263497178,34424.0444034535,35211.7843787169,35933.0342655155,36165.6259225283,37182.8615240639,37856.7594313902,38381.8147929858,39041.479279907,39665.1564717892,39720.5651098661,40126.1771694364,40552.5737973757,41002.9813610211,41429.3982159668
"CH4","5E_Other-waste-handling","ktCH4",66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,66.0359784003059,74.2132656178655,80.828865379569,93.4575632020065,112.455959433802,128.737427687089,145.201061998757,158.221678465255,166.40230901213,182.755759092593,200.530183265466,212.839199022663,227.353721796326,239.757788809198,251.053480614045,252.881725017973,255.846332716577,261.478362292288,261.54858802769,266.669567356071,284.059823219531,287.254345539228,301.637181684424,302.984536826924,305.640780921166,310.79504775304,309.27081864549,309.835879678853,312.795571990475,314.258026074355
"CH4","6A_Other-in-total","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","6B_Other-not-in-total","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","7A_Fossil-fuel-fires","ktCH4",142.083606247437,145.38,145.74,146.1,146.46,146.82,147.18,147.54,147.9,148.26,148.62,148.98,149.34,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,169.4748,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,151.668850430479,152.712724712351,153.723964649453,154.693034648974
"CH4","7BC_Indirect-N2O-non-agricultural-N","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
