"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"CH4","abw","biomass","ktCH4",0.0137275981814418,0.0136225713604553,0.0134594028727006,0.0135024914168033,0.0142101244715346,0.0141159883511811,0.014108448018852,0.0139710730836194,0.0140081337506077,0.0139705643451601,0.0139369720386042,0.0145850612338326,0.0135741352190548,0.0136418292862042,0.0154860494013291,0.0159667649628912,0.0155010923738897,0.0154478694880466,0.015416499035636,0.0161661518887652,0.0148875315442952,0.016625249376828,0.0174958180948537,0.0175296768736643,0.0170203372841231,0.0201369028523766,0.014236717633202,0.0213353842904095,0.0118945787290262,0.0144512745191608,0.0124231174920316,0.0130743388747255,0.0140315560328827,0.0136787838430633,0.0139950534066956,0.0118609519118639,0.0119303837599091,0.0119536570282269,0.0102894618393161,0.0123469103826011,0.0147835866052484,0.00894502115426646,0.0109882266729621,0.0164019326321262,0.0140491805718049,0.013756781398881,0.0124877982607117,0.012239772461188,0.0121273442449921,0.0120072190698006
"CH4","abw","brown_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","coal_coke","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","diesel_oil","ktCH4",0.00210364108148343,0.0015984392202207,0.00224268582169259,0.00209643327272777,0.0016348183941868,0.00164669977173122,0.00232540575665682,0.00130048725352566,0.000865952099570582,0.000895161039070254,0.00107983067991105,0.00113077173127803,0.00108092992481296,0.000546443549814707,0.00170740632114089,0.00171657634492742,0.000401476502414338,0.00102519939323657,0.00129235592439251,0.0015651229496115,0.00448031585997432,0.00411842771121994,0.00316611272764807,0.00310890185382279,0.00297794871497582,0.00314691864325285,0.00254376316084974,0.00343906361251388,0.00346921201056703,0.00406395652281911,0.00436028030600969,0.00473652980082099,0.00440178840638665,0.00421658643178909,0.00529270924328934,0.00436119199463343,0.00429642392630028,0.0042954597094446,0.00398712256890621,0.0045537038534201,0.00489798280557716,0.00427144300866761,0.00906205847050151,0.014033519923134,0.0108644378356755,0.0109474452762399,0.0115883678592438,0.0103943122703035,0.0107787550771259,0.0105311956517285
"CH4","abw","hard_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","heavy_oil","ktCH4",0.000760158042585802,0.000712735977088542,0.000629450212736588,0.000697454281067042,0.000512199787074762,0.000503260836326358,0.00105345945888621,0.000509382364027991,0.000548783071910729,0.000488469277152341,0.000535051689692545,0.000598549645005621,0.000656745385556747,0.000280234258599562,0.000729006561685478,0.000900321261113176,0.000158404242962543,0.000452547413961943,0.000666354969934828,0.000626159151801919,0.00188520701419102,0.0022753272349993,0.00205208955301931,0.00314914471181236,0.00312811946757077,0.00325978409818439,0.00226089989430477,0.00330217261525536,0.00376331681951994,0.00395352931763611,0.0037915909350929,0.00391374815896199,0.00405672992516381,0.00404279062311095,0.00397811416595856,0.00330949770307494,0.00336896982845259,0.00308403714325743,0.00320308860030829,0.0032633121111308,0.00318228711853837,0.00272001011107662,0.00511758503606491,0.00602445315370549,0.00577440094516255,0.00591755527494907,0.00591969685366802,0.00407172786738809,0.00419158035526887,0.00407208093754651
"CH4","abw","light_oil","ktCH4",0.00233816979094403,0.00207690698518592,0.00198186761737185,0.00251188381690326,0.00198474482895854,0.00191748364415987,0.0041503871608692,0.00222068170155732,0.00204302805476432,0.00206313051352227,0.00323750617049885,0.00407397248948454,0.00489734265407205,0.00262239094388175,0.00679198645450148,0.00768187651302468,0.00114366886294526,0.00331556168834785,0.00466437167262251,0.00534855641152302,0.0162683580236267,0.0171789655326915,0.0153298405150493,0.0159046483535949,0.0157388381538458,0.0180815502819527,0.0122855860487929,0.0197682108258328,0.022974174304139,0.025140570213572,0.0247579008054736,0.0253714788798803,0.0220042055530045,0.0207447005016034,0.0197663266083144,0.0180945412516389,0.0178796177751823,0.0145563778087946,0.0149178787472708,0.0162297393944563,0.0166676188885271,0.0160861889689234,0.0269519334299283,0.0323710511179618,0.0290701068001884,0.0257793546561151,0.0246338139144558,0.0237613431198555,0.0238970753205902,0.0226579943269482
"CH4","abw","natural_gas","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","process","ktCH4",0.583091041742556,0.598848306648199,0.602056750410811,0.606288995245005,0.60692016442136,0.608011978460262,0.60643005313331,0.60781669400394,0.602952140370583,0.601698471253933,0.601970035612667,0.605878809976061,0.613130756515232,0.620602852918982,0.626248802766536,0.62604428540366,0.622506853976467,0.6162219780306,0.626487524696877,0.626840800561195,0.640601090422571,0.671565855560154,0.738274296873822,0.784551902370552,0.825949656158695,0.862331411072555,0.858299424540363,0.911823376646993,0.909487751241588,0.940121988242586,0.946696052802703,0.937905654331077,0.935679435310749,0.955954134751338,0.984935633093999,0.985058612981256,0.978663421051113,0.970129733962727,0.965333529004509,0.940579730987494,0.899309665457683,0.958327089517127,0.929895206097228,0.920578862012757,0.92174884150034,0.92595779150034,0.929020073483572,0.931681147399482,0.934039268284966,0.936217254936141
"CH4","afg","biomass","ktCH4",20.8358498344578,21.541498184357,21.862997555585,22.2571803076059,22.5735020481591,22.879091469622,23.2827779298397,23.5663867948855,23.8986554538949,24.2225957607901,24.3030191796958,24.0033637902855,23.4731824060332,22.9645722562206,22.2777767863173,22.0297950442075,21.917616935486,21.7775182960615,21.6497776633027,21.6487899877082,22.3741853732023,22.9005643078164,23.5583461150784,24.4600254474134,25.2131733409038,25.7973386378693,30.7401031423246,31.168637760606,31.5535506011874,32.2645706583516,32.7897340963831,33.246086352683,33.9745511139205,34.5199226689703,35.0331131870558,35.4704976128009,35.6684217008446,35.8620555996172,35.9892190718616,36.1129785273806,36.3649131580637,33.1584627609396,33.176395788468,33.2024490858892,33.6425009401682,33.8493578195123,33.8306941820181,34.6366577612839,34.5911509204542,34.5460818376138
"CH4","afg","brown_coal","ktCH4",0,0,0.00146187067483344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049615975629646,8.98417026511299e-05,0.000206227816196055,0.000541201956801822,0.00185695331015102,0.00523620665064254,0.00552744544753963,0.00578857516973024,0.00803688686159166,0.0423072929290013,0.032864041223337,0.0518846017764473,0.0458927295718161,0.0997679076064365,0.128899290919392,0.360944119038502,0.376154933829945,0.533745415764715,0.658852292407928,0.715836182951536,1.453887279258,1.49138013091793
"CH4","afg","coal_coke","ktCH4",0.0118046206285261,0.0558892310620743,0.0396005737180045,0.000699882730810939,0.0122255332442177,0.000733487133054713,0.000863913409162267,0.00158306998495134,0.00200123707994435,0.00142992564275134,0.00118757062387356,0.00146224340664685,0.00162800379282545,0.00146520341354291,0.00142558436933846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","afg","diesel_oil","ktCH4",0.0129332686196993,0.0147796648809921,0.0114874916169768,0.0110143227312912,0.0161621683857141,0.0183350563918748,0.0156002295848496,0.0192735643013335,0.0206107409272054,0.0272592022080255,0.0208363102213755,0.0287053736246419,0.0282815765351469,0.035328321474253,0.033289128864757,0.0458218689198162,0.0352465047586362,0.0587770056964091,0.0509925430210821,0.0509197430222204,0.0477008449597048,0.0468568625050777,0.0260678478499398,0.0260759575961555,0.0283676621565958,0.0250497552574547,0.0243194755678932,0.0208842749828552,0.0199282079694014,0.014522322019871,0.0185499533816558,0.0105477112597489,0.0081999774204663,0.0139543127232907,0.0209115519877549,0.0290764981211119,0.0416266366490033,0.0281970193191467,0.0775476281265904,0.144271525366112,0.213968462616813,0.42227006746969,0.455751776073392,0.402218332785652,0.416854733154886,0.48378931558413,0.465408076929768,0.488700153275061,0.511676714505031,0.546028506255921
"CH4","afg","hard_coal","ktCH4",0.18541286952845,0.16497552182292,0.112044759867758,0.236808845208934,0.217307848334577,0.3262727426398,0.384289491537199,0.47207712107604,0.592261850725058,0.431569705261332,0.372353662284351,0.405701082459609,0.305534405275529,0.337777098524558,0.496502688153213,0.200780171728322,0.213293430071985,0.221147649174944,0.184401345216944,0.16463426858271,0.136157088045887,0.1311438112964,0.0108349591802582,0.00942759566068518,0.00792660778727148,0.00821110931020056,0.0046297286333326,0.00222770655420587,0.00213348695207478,0.00238379984367665,0.00212198343436042,0.0326107205272149,0.0230083861141308,0.0342011861861323,0.0276735757501686,0.0294872992923829,0.0436328147805933,0.3013411704231,0.431128706902771,0.611551856935774,0.801745044061008,1.27213157762293,1.08198596296762,1.07897280419901,1.12314814620964,1.02562156252224,1.31077427381596,1.36782963409469,2.79144847272747,2.87635196144317
