"em","country","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"CH4","abw","ktCH4",0.602020608839011,0.61685896019115,0.620370156935312,0.625097258032507,0.625262051903115,0.626195411063661,0.628067753528574,0.62581831840667,0.620418037347436,0.619115796428839,0.620759396191374,0.626267165075662,0.633339909698728,0.637693750957482,0.650963251505193,0.652309824485616,0.639711495958679,0.636463156014193,0.648527106299463,0.650546790962897,0.678122502864658,0.711763825415893,0.776318157764392,0.824244274163446,0.86481489977921,0.906956566948322,0.889626391277513,0.959668207991005,0.95158903310484,0.987731318815774,0.992028942341311,0.985001750045466,0.980173715228187,0.998636996150905,1.02796783651826,1.02268479584247,1.01613881634096,1.00401926565245,0.99773108076031,0.976973396729103,0.938841140875574,0.990349752760061,0.982015009706685,0.989409818839684,0.981506967653171,0.982358928106525,0.983649750371651,0.982148303118217,0.985034023282943,0.985485744922165
"CH4","afg","ktCH4",998.330322285544,1012.88270235245,985.36800935472,987.924624444426,1049.74578790919,1072.78015738587,1088.31669247492,1109.51373407909,1099.55088524444,1093.09146228923,1098.18249528816,1088.24727930339,1070.2653507478,1036.22613847425,987.641362363965,946.590736093168,893.197063815894,878.583237304912,882.480698596678,849.825051978281,872.227351441841,904.334866374088,691.534517953261,688.148340344139,696.014757806918,668.277059748135,682.738572599002,611.97088928727,617.593537177885,618.508272037,534.361102284744,448.212217027418,506.655874417724,538.022561472276,597.827144500576,749.340150325725,825.808331267746,790.08978067178,1196.24944483404,1452.59649561777,1516.26010423297,1581.59896262468,1521.82642695679,1541.70432816423,1631.55923296489,1592.66557184807,1490.53375246639,1367.45834123071,1365.87250847772,1359.63779347988
"CH4","ago","ktCH4",1395.69746760525,1329.30619018456,1503.79984229681,1693.96731346887,1756.77918303318,1655.75948767496,1109.83750003059,1963.86924220466,2143.26883077983,2151.60464371754,2172.86188756294,2020.77553162867,2008.66169421818,2076.83116050446,2122.69265543589,2150.70148605235,2182.09006057558,2228.326937998,2245.78170554591,2262.23717056238,1535.58642974081,1621.58160614581,1708.13460130411,1662.94769718294,1488.3820299215,1659.97217822797,1897.83653232314,1850.9584315764,1862.05777067249,1716.65416365074,1461.33188359322,1404.36763203109,1367.19573351142,1362.65224440427,1499.90975359642,1520.70352783378,1302.15012068695,1275.95311779396,1309.91305660953,1300.24208869932,1423.94955067984,1430.75888991731,1442.27151728161,1446.49835740422,1522.22107816161,1686.42555152163,1698.85484222044,1711.15507111332,1723.41428562511,1735.94795407881
"CH4","alb","ktCH4",107.813433027591,108.757304554396,114.513216712172,115.441673716452,113.160922614404,115.175136636083,120.156134725646,123.562854900546,133.440117719354,134.80480716682,136.890164007775,129.641742031473,129.581607477245,132.286812340711,134.980651006422,129.914197969479,133.425914736253,139.037844320973,143.538847076479,144.206599438452,138.032394288794,133.838533854661,127.829157623858,132.321841555925,169.595877137205,159.291324211202,152.191378886031,142.696158367676,137.175585691128,138.933956629507,140.772070171999,138.346595494142,136.752254565614,137.401618667449,134.821109391834,133.503019191534,131.934725202688,126.150666402071,120.227608121592,115.882211586819,116.629950259238,116.429681185636,118.247506487684,118.189834292343,120.059777448063,120.24719303276,119.492304283922,119.425895298618,119.663222988603,119.536119529406
"CH4","are","ktCH4",2805.76295514191,3781.78199817703,4145.19178887705,5396.03534572641,5412.0318495232,5275.67237778199,6518.37240582035,5897.097297909,6736.95634898327,3952.22591793783,3722.11829927706,2505.29068905241,2142.20014703224,2058.38311192936,2823.51549398085,2513.87255598051,1698.25577582589,1306.77611471394,960.070020639785,911.299245635344,903.101438927399,1025.17336871013,1090.81443836226,1117.14185742252,1170.46890069864,1190.49960456213,1224.02983083971,1152.59194123013,1149.45649507355,1055.79910620261,1136.23067796812,1114.77449881331,1082.58456595702,1173.12927180228,1229.14846894116,1256.1380115379,1364.48915282191,1369.24295745778,1416.20773398261,1322.15179776168,1379.84011120175,1502.8334179332,1557.15124475942,1636.00187019791,1643.82981190111,1742.99821549873,1798.90334261936,1741.81570662417,1746.74156162246,1751.62582030382
"CH4","arg","ktCH4",4200.21403983879,4285.84160995159,4402.78533623261,4615.6607456436,4641.47325371425,4862.79540514216,5222.39458722219,5409.66197472463,5383.39304689565,5419.60431557803,5289.99252811116,5015.22334789987,5035.26884571764,5065.44671494314,5507.04700235783,5302.50942329081,5000.1958956511,4913.65350138781,5249.69498717981,5370.16606926231,5193.57918051962,4948.65712257872,5029.28581730022,5255.24539172719,5459.17238386832,4963.33253284298,5191.5984875703,5023.01050505401,4944.53392466168,4987.0538989331,4922.8996343012,4950.86545727109,5092.49177098432,5305.73825806348,5357.90345974854,5311.0503140912,5404.0468532597,5368.77371218679,5288.74679242272,5100.86193131528,4785.09891322535,4709.81675398964,4785.01540891516,4821.34612622318,4908.87534479634,4925.79055620113,4905.88709616838,4848.86486317628,4863.82348714801,4874.75545871555
"CH4","arm","ktCH4",45.8154524962982,48.5503982080286,50.4986486126459,52.1553969274207,54.0990304672553,55.85822286478,56.9636357282773,57.6850263340064,58.8849674838653,59.9168508551421,60.8262255492329,61.3960680592968,62.2357266731464,63.2947537412933,64.7125615207176,65.6841623671928,66.5846529538826,67.4185314471612,75.888592639194,78.177517720293,77.7222470864628,75.7130133051121,71.5230666062781,64.5825606257842,65.151735262451,62.7455933405025,63.5243333461928,63.4435655294252,61.3836995412154,61.7291054767574,60.9811200741909,60.965332104915,62.2313224097766,63.7649735274098,64.8776357095915,66.0551459757326,66.9687014015052,61.9016770070851,62.4912325275483,60.0732184475483,59.6752932385053,59.985516023884,61.6651486091437,64.542374140032,65.3918104493488,65.8075189491671,66.2887495442401,66.4116901696208,66.7104856510042,66.6373444051959
"CH4","asm","ktCH4",0.61147020265668,0.730379562153411,0.741289007567594,0.753419731392774,0.766098880934428,0.779803084260176,0.792564314662979,0.808547860974169,0.818827084370092,0.827096958699889,0.840824665721868,0.872045238347294,0.909751596258491,0.948551702566947,0.989247088911057,1.02588762592141,1.06378728454574,1.10926553194612,1.15055994292795,1.19373668576313,1.18701062002448,1.21552962929708,1.24632798754967,1.27973829203975,1.31059636354711,1.34174000345245,1.36759861133839,1.39360989915148,1.42337163926989,1.45016355780963,1.48749639747927,1.51024589350955,1.51539591126976,1.52759285280175,1.53134634877785,1.53724487934338,1.5223273991941,1.50821478618943,1.49321746828639,1.47315959682062,1.45617149465826,1.44525944514682,1.46618254598209,1.47135835787187,1.46902470774418,1.46391294747388,1.46922074185304,1.41522450848363,1.41635645267005,1.41751053161814
"CH4","atg","ktCH4",2.71940958695514,3.20651563008628,3.21711078683648,3.25853726645453,3.27040040984987,3.31371671686079,3.33366973367732,3.38778816869823,3.53257946797003,3.76039264805195,3.92397159431752,3.88966370666013,3.95420001388089,3.91063199411318,3.8982681390321,3.98866188235278,3.97010673550945,3.95611978302885,3.94003782721249,3.79772894656264,3.77207722182799,3.79446925610414,3.84488103270658,3.87841767105138,3.93743252281263,3.96473239246169,4.00009998755149,4.01861659740277,4.02847487278371,4.06591916792782,4.08389292747998,4.08290797374443,4.06701492119562,4.07361484296213,4.06627107898238,4.03033468439927,3.99254947999919,4.00149391766894,3.96504856912397,3.92118000659523,3.2523435355522,3.28730750171394,3.27527771572444,3.27093169634014,3.26940724942319,3.27674255080459,3.3010753637566,3.32299582818326,3.34886233349453,3.37342843640933
"CH4","aus","ktCH4",4461.28505282267,4648.16296664662,4861.07184807065,4828.31024986174,4926.32777563333,4968.53018642248,4980.04070720411,4830.87753348054,4695.49432246309,4644.19455444037,4568.50087592031,4650.21952380411,4690.72425969162,4868.25901218746,4928.82472216939,4964.6452768368,5057.56835656582,5079.74318740013,5043.91592461877,5326.2517905347,5420.01925670133,5440.44293674822,5451.88279078394,5320.37794030971,5180.94373762458,5154.34374254735,5122.52664423676,5278.15402864121,5268.94876349806,5095.80600181981,5257.87044282203,5177.35444844171,5152.20726234263,4928.65499268108,4991.99340692926,5058.44745083935,4989.01453589185,5029.21351455776,4992.76961799312,4921.11942064498,4869.65869636952,4985.7402456866,4841.60905632711,4835.17033471509,4749.82606168041,4795.41035814981,4801.39594643768,4896.61117858344,4963.20604004242,4994.84676877907
