year,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,0.00012782948300978802,8.810067281517634e-06,9.34833921117729e-05,-1.2410711582861814e-07,-6.225602595466153e-06,2.762617763792314e-06,-1.4141051954811137e-05,-5.91950193801703e-07,1.9740124555471867e-05,0.0
1753,0.0003514283320565,2.4220603707008516e-05,0.00025700418863706123,-3.4217021242278376e-07,-1.549156418170863e-05,7.596999516214665e-06,-3.8862217607107045e-05,-1.6272989204751484e-06,5.424043320964307e-05,0.0
1754,0.000646855091738626,4.458155306141888e-05,0.0004730536864947744,-6.295543957533986e-07,-2.6326879667754866e-05,1.3977498984503426e-05,-7.149216762501222e-05,-2.9951110431751824e-06,9.97564973122184e-05,0.0
1755,0.0009962307843656877,6.866068790651968e-05,0.0007285567527606314,-9.699814647451143e-07,-3.871921406266247e-05,2.1521299866825743e-05,-0.00011004804670487177,-4.612543668573546e-06,0.0001535174183001892,0.0
1756,0.0013862034892634706,9.55377876742306e-05,0.0010137489511993696,-1.3502365969634752e-06,-4.961694655184135e-05,2.993764989958699e-05,-0.00015304298429586288,-6.417729293149626e-06,0.0002134410857821908,0.0
1757,0.0018068017932059285,0.00012452561793827968,0.0013213380553968,-1.946077013665187e-06,-7.278151209335856e-05,3.986200344291337e-05,-0.00020042538676353006,-8.364583532282995e-06,0.00028020141244813277,0.0
1758,0.0022505786238143305,0.00015511092301489598,0.0016458779227974212,-2.5179509056575275e-06,-9.442658732892247e-05,5.00657462947425e-05,-0.00025004142107994473,-1.041844996241888e-05,0.00034984841332722075,0.0
1759,0.0027119719215484557,0.0001869103631798267,0.001983300945673329,-3.0721419662918445e-06,-0.00010461486874994081,6.048189305719394e-05,-0.0003013388346002164,-1.2553563279591571e-05,0.0004216561988590964,0.0
1760,0.003186827232265955,0.00021963761152589867,0.002330568916746693,-3.613341180323446e-06,-0.00011922761552070702,7.106039328426337e-05,-0.0003539050733827451,-1.4750678461783117e-05,0.000495082455642607,0.0
1761,0.0036720412112399635,0.0002530787840945903,0.002685412318961497,-4.143989454149883e-06,-0.0001281175839073338,8.17589705300273e-05,-0.0004074258510323029,-1.6995418731953658e-05,0.0005697092283469086,0.0
