year,ssp119,ssp126,ssp245,ssp334,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.18877873622797114,-0.18711159500978902,-0.18942782470163944,-0.15732094527454854,-0.1778502640410451,-0.182137337997333,-0.18179725883672204,-0.18404649515035465,-0.18404651297833707,-0.20146503112299552,-0.20109089249307588,p05-p50
2016,-0.14688376642577006,-0.14521662520758793,-0.14753285489943835,-0.11542597547234745,-0.135955294238844,-0.14024236819513192,-0.13990228903452095,-0.14215152534815356,-0.14215154317613599,-0.15957006132079443,-0.1591959226908748,p05-p50
2017,-0.10712655691781281,-0.10545941569963069,-0.1077756453914811,-0.0756687659643902,-0.09619808473088676,-0.10048515868717467,-0.10014507952656371,-0.10239431584019631,-0.10239433366817874,-0.11981285181283718,-0.11943871318291754,p05-p50
2018,-0.07077026666976072,-0.0691031254515786,-0.07141935514342901,-0.03931247571633811,-0.059841794482834665,-0.06412886843912258,-0.06378878927851162,-0.06603802559214422,-0.06603804342012665,-0.08345656156478509,-0.08308242293486545,p05-p50
2019,-0.03583398197452792,-0.034166840756345795,-0.03648307044819621,-0.0043761910211053134,-0.024905509787601865,-0.029192583743889777,-0.028852504583278815,-0.031101740896911423,-0.031101758724893847,-0.04852027686955229,-0.04814613823963265,p05-p50
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2021,0.036234953679314064,0.03382873951195142,0.03424813298587148,0.01142978527374705,0.026734304042484114,0.030974671175773683,0.030550976122529994,0.031858429685464484,0.030831722605715983,0.04547179473238705,0.04499743142282586,p05-p50
2022,0.07235468206836604,0.06712947098894162,0.06674939704210336,0.027977757798237635,0.05493969653676456,0.06333678419949518,0.062152344890334055,0.06410772601001224,0.06151198860382312,0.08880515707512227,0.087762562953974,p05-p50
2023,0.1076948562249822,0.0997328369739956,0.09785103004155782,0.048220619634160355,0.08429744973303688,0.09683797458833854,0.09414348172622522,0.09622774479022245,0.0921629475871455,0.1307754388897311,0.1291030320560791,p05-p50
2024,0.14187896415785217,0.13154433611738336,0.12785230910648604,0.07108500473734658,0.11458125882061476,0.1312418308211598,0.12601648734108029,0.1278447262469693,0.12290959356941467,0.17200167889817441,0.16966099101521448,p05-p50
2025,0.1747169767812513,0.16258120591052738,0.1570050065770836,0.09580903480014147,0.14565504473114022,0.16638067958431169,0.15743394415870604,0.15881268283906502,0.1538060838104527,0.2128802999958912,0.20984723194109756,p05-p50
2026,0.20602087392742652,0.19286187884228756,0.18551244728506844,0.12183033760662632,0.17740036738149323,0.20222539218694768,0.18826526205751115,0.1889829432734378,0.18496558644980232,0.25374050838153095,0.25000134065192636,p05-p50
2027,0.23580098838896624,0.22243713256055275,0.21346255982835993,0.14873017526604837,0.20975081543432816,0.23871475681686438,0.21839824198685975,0.21829549596947673,0.21641871759703113,0.2948753406956106,0.2904229135488514,p05-p50
2028,0.26401926741429516,0.2513006549400154,0.24097862218034538,0.17619138473627616,0.24262270436707722,0.2757683824809727,0.2477340067531737,0.24673681247067858,0.24815904268699596,0.3363539189392153,0.3311883694922064,p05-p50
2029,0.29065328022422876,0.27945048803290606,0.26816435415896045,0.20396859176246585,0.27594856117839095,0.3133006301638792,0.27619063855290515,0.2742680540911566,0.2802138929361031,0.37827782617914396,0.37239949785708926,p05-p50
2030,0.31575800797605313,0.30696216997303294,0.2950740928198976,0.2319100504066336,0.30971963158217286,0.3512706793591265,0.303748901395966,0.30086241463950447,0.3125979895857147,0.420740058197689,0.4141532742203442,p05-p50
2031,0.33560847076557376,0.3325901426959479,0.32306838690420103,0.26030122873352357,0.3439646651224122,0.39001410784291446,0.33077267461473325,0.32649804695899265,0.34543174309224134,0.46251312750714213,0.4552214925684932,p05-p50
2032,0.35124018741591523,0.3565606544706865,0.35176481683961125,0.2890428364917055,0.37861172715677105,0.42938442106712893,0.3573137468878893,0.35127222684900894,0.3786303978399952,0.5039747157978032,0.49598462186838455,p05-p50
2033,0.363568047420447,0.379051234021867,0.38085431028109995,0.3180672512212195,0.4135372700668738,0.4691998755446043,0.383506778065025,0.3752829103726649,0.41197647417615046,0.5454237948532883,0.5367471128699421,p05-p50
2034,0.3732518671579077,0.40021427541276666,0.41009697302407444,0.34729103654281945,0.44867687860604266,0.5094076713083127,0.4095301655035699,0.39868144294021435,0.44536925168888697,0.5871056962845753,0.5777557750194307,p05-p50
2035,0.38080658678623447,0.4201686040767618,0.4393679507043793,0.3767765578075848,0.48394923525553546,0.5499305008645359,0.4354705086323978,0.4215547999526381,0.4787548059257263,0.6291846285821434,0.6191756107060562,p05-p50
2036,0.38662588854870794,0.43902595631539465,0.4686171972138855,0.4065019040008111,0.5193958647418013,0.5907142359403119,0.46139582163312975,0.4439517723388333,0.5121016991588192,0.6717977978260061,0.6611478480477939,p05-p50
2037,0.39102533594124433,0.4568970373643819,0.49773343141356996,0.43646483109884215,0.5550057366500427,0.6317619348999277,0.48739803408578775,0.4659388241348179,0.5454021138615424,0.7150391483265335,0.7037689993941649,p05-p50
2038,0.39426067424106237,0.4738916967596214,0.526730477817849,0.4667082770298927,0.5907994549861753,0.6730913983850311,0.513559317559702,0.48761481270094187,0.5786609491036006,0.7589354228483882,0.7470644981587493,p05-p50
2039,0.39651490924722066,0.49006507709918257,0.55562281307537,0.49728545126866264,0.6268048422148089,0.7147094051276088,0.539934007805865,0.5090183648157602,0.6118789235299562,0.8035932506037271,0.7911420776849662,p05-p50
