year,ssp534-over,ssp370-lowNTCF-gidden,ssp119,ssp370,ssp434,ssp460,ssp585,ssp126,ssp245,ssp370-lowNTCF-aerchemmip
2015,-0.06338744718710798,-0.042932292104538416,-0.0614674260794531,-0.035248990754234044,-0.045396586625001456,-0.045396586625001456,-0.06338744718710798,-0.06065851862148064,-0.055500355743206886,-0.042932292104538416
2016,-0.04779669773363038,-0.027341542651060813,-0.0458766766259755,-0.01965824130075644,-0.029805837171523852,-0.029805837171523852,-0.04779669773363038,-0.045067769168003036,-0.03990960628972928,-0.027341542651060813
2017,-0.03323144907336595,-0.012776293990796384,-0.03131142796571107,-0.005092992640492011,-0.015240588511259423,-0.015240588511259423,-0.03323144907336595,-0.030502520507738606,-0.025344357629464853,-0.012776293990796384
2018,-0.022938466192968687,-0.0024833111103991223,-0.02101844508531381,0.00519999023990525,-0.004947605630862162,-0.004947605630862162,-0.022938466192968687,-0.020209537627341345,-0.015051374749067592,-0.0024833111103991223
2019,-0.01454751613585914,0.005907638946710425,-0.01262749502820426,0.013590940297014797,0.0034433444262473856,0.0034433444262473856,-0.01454751613585914,-0.011818587570231798,-0.0066604246919580445,0.005907638946710425
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.012523956334849817,-0.003024243016076289,0.014766410864946344,-0.010700716725925652,-0.0015185435346654064,-0.002850835638896987,0.012523956334849817,0.012510632263511123,0.004726337323487817,-0.003024243016076289
2022,0.023532590656232144,-0.00393496896667056,0.03123197807719924,-0.019236343388038923,-0.0015583079464592808,-0.005262219519764355,0.023532590656232144,0.025589472434907057,0.00801431735246938,-0.00393496896667056
2023,0.03342613394776428,-0.0032203382140522097,0.04902642211217434,-0.026160088269338688,-0.0004808195189593967,-0.007335225621862285,0.03342613394776428,0.03913589368699544,0.010233057797436995,-0.0032203382140522097
2024,0.0425427041843478,-0.0013164255011970383,0.06792179419309408,-0.031893382283591065,0.001391500529786538,-0.009135716247660075,0.0425427041843478,0.0530636583697226,0.01165869741153347,-0.0013164255011970383
2025,0.05106641367241449,0.0014480009977628772,0.08778945433187435,-0.03672959812109022,0.003908318037478931,-0.01076886283732803,0.05106641367241449,0.06736877531112473,0.012503798665191357,0.0014480009977628772
2026,0.05916393402585385,0.0049062339692216295,0.10843637152312391,-0.040922778922846126,0.0068779772806083495,-0.012253011162784655,0.05916393402585385,0.0820195393291483,0.012918990269772834,0.0049062339692216295
2027,0.06703605801519641,0.0089146619368351,0.12986167499867052,-0.04461989039467629,0.010207291173461974,-0.013633228745218329,0.06703605801519641,0.0970354111776428,0.01296823709382977,0.0089146619368351
2028,0.07470723723399142,0.013346834191250823,0.1520065438776279,-0.04794923518868455,0.013853385508557747,-0.014957413872257797,0.07470723723399142,0.11238689486827647,0.012769732156668878,0.013346834191250823
2029,0.08224871412043444,0.018083379906135955,0.17481263881454773,-0.051010703415185876,0.017741837114445436,-0.016225087570782004,0.08224871412043444,0.12804411429042173,0.012416303021235753,0.018083379906135955
2030,0.08972789547213877,0.023045219611737777,0.19827568289840636,-0.05385005719794833,0.021790555479254792,-0.017457296986745585,0.08972789547213877,0.14403561917638863,0.01193920195869369,0.023045219611737777
2031,0.09564704863997286,0.028519955038770473,0.2170598423300209,-0.05635216666892062,0.026050334414144283,-0.018381000819142956,0.09564704863997286,0.15813264509443337,0.012919224368439064,0.028519955038770473
2032,0.10039998002648198,0.034392412319370735,0.23238178992772096,-0.058591833969911966,0.030482030565076146,-0.01904353715154483,0.10039998002648198,0.17080241138656327,0.014963545519235288,0.034392412319370735
2033,0.10428186899333425,0.0405507547492957,0.24514579430979805,-0.060647790283551606,0.03501870567510568,-0.0195444358497483,0.10428186899333425,0.18243719342003117,0.017818390249788818,0.0405507547492957
2034,0.1075436650399797,0.04699110281281493,0.25600540116410836,-0.06255449805740887,0.0396874136442138,-0.019911178546515473,0.1075436650399797,0.1933307918725798,0.021273412447048723,0.04699110281281493
