year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,-0.07995848736376221,-0.07837871026102125,-0.07906935976276223,-0.06606391265600192,-0.07038991015193091,-0.07003055242322961,-0.07439036811133293,-0.07439036374149073,-0.09001431156018924,-0.08980785926824565,recommendation
2016,-0.06027927362069633,-0.05869949651795537,-0.05939014601969636,-0.04638469891293604,-0.050710696408865046,-0.05035133868016375,-0.054711154368267054,-0.05471114999842486,-0.07033509781712335,-0.07012864552517978,recommendation
2017,-0.04230474513226639,-0.04072496802952543,-0.04141561753126642,-0.028410170424506102,-0.03273616792043511,-0.03237681019173381,-0.036736625879837115,-0.03673662150999492,-0.05236056932869342,-0.05215411703674984,recommendation
2018,-0.02759328987712325,-0.02601351277438229,-0.02670416227612328,-0.013698715169362961,-0.018024712665291966,-0.017665354936590667,-0.022025170624693974,-0.022025166254851777,-0.03764911407355028,-0.0374426617816067,recommendation
2019,-0.014041575572908381,-0.012461798470167422,-0.013152447971908413,-0.00014700086514809335,-0.004472998361077098,-0.004113640632375799,-0.008473456320479106,-0.00847345195063691,-0.024097399769335413,-0.02389094747739183,recommendation
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recommendation
2021,0.014765119879465875,0.012225072259666403,0.010911896491424537,0.0017104821156746775,0.005978786195610507,0.005528582367862793,0.00938121169136339,0.008309046420238775,0.020762246219227565,0.020502523637848505,recommendation
2022,0.02992804262045222,0.024140977112683447,0.020110707001665833,0.004617064171306529,0.013061526824151133,0.011826131916447276,0.019381599258647582,0.016538553362202474,0.039067311766200416,0.03849893377471144,recommendation
2023,0.04515489621982949,0.03573473840022117,0.027982253025314707,0.008441601030225253,0.02104330169350084,0.01828698073779464,0.029595606094219462,0.024733089617204863,0.055658744382734146,0.05474916720092672,recommendation
2024,0.06025970061044123,0.046992169328028494,0.034834220033768605,0.012966673909934293,0.029697957505392947,0.02442686287705824,0.039708587262469626,0.032955583244935686,0.07111977083100718,0.06984915159544283,recommendation
2025,0.07516694681131394,0.057974197376628234,0.04091385666184145,0.018053691372802362,0.03885612692638876,0.029915515300489276,0.049601946574275975,0.041205310257633576,0.08581300648593146,0.08416946072658318,recommendation
2026,0.0897450994112707,0.06871314174146323,0.0464081093890309,0.02356984863454572,0.048476064160224916,0.03462111112166633,0.05913215416755722,0.04954767441839713,0.10003820885487755,0.09801621295309457,recommendation
2027,0.10405080865863706,0.07927926542270017,0.05140649310237114,0.029452934587458353,0.058501266811598424,0.0384458013580541,0.06825348357592073,0.05799655945771201,0.11408582020320052,0.11168462691667375,recommendation
2028,0.11807714189642418,0.08968295251720332,0.05604384253683946,0.035633640017448114,0.06886608034720008,0.04131323880486941,0.07696545185398881,0.06654231878785666,0.12803692614966097,0.12525801088055824,recommendation
2029,0.13180043449803838,0.09991642199092962,0.06041391523654762,0.04203977171547559,0.07948021222519039,0.043145500786568355,0.08522386997437958,0.07519874157719236,0.14198599362888037,0.1388329263349612,recommendation
2030,0.14525793395170014,0.11003532569008828,0.06455431627051042,0.048650034526904105,0.09029021942303266,0.04391774854465578,0.09298358475718692,0.0839591095025024,0.1560188171255653,0.15249677965291988,recommendation
2031,0.15454387599324132,0.11875024154961203,0.06990569387040135,0.05552782726996759,0.10166965459384708,0.044039150879258984,0.10026752402061835,0.0930083030520361,0.16898666497246775,0.1651020056060376,recommendation
2032,0.16067398232050875,0.12632301933384202,0.07607194073509181,0.0626108323258329,0.11348033402958868,0.04356977947017543,0.10717072071195718,0.10228087581555403,0.18122736204576725,0.1769876796010186,recommendation
2033,0.1645002841277963,0.13299174286758175,0.08276341761179572,0.06981358758969086,0.12557778213896595,0.042672989945081105,0.11381066628558062,0.11161467957532709,0.19300253663779307,0.18842060393192656,recommendation
2034,0.16663206293890795,0.13893056182381186,0.08973720326467549,0.07708775869368709,0.13792532936538401,0.0415356941009405,0.12033843222664588,0.12093026941457599,0.2045209849516669,0.19961159830071024,recommendation
2035,0.16753203107330247,0.1442624927055538,0.09685608050111788,0.08434862604807875,0.1504422324417409,0.04023765239259479,0.12682957617220325,0.13017773651081832,0.21591348916151107,0.21069196805241475,recommendation
2036,0.16755237557731445,0.14908688231399925,0.10404965688154919,0.09162909174592657,0.16306477714372225,0.038832815703617005,0.13331207192639866,0.13932279869863554,0.22729107957018546,0.22177411316875448,recommendation
2037,0.1669654848156636,0.15349909582244076,0.11118270019155935,0.09890334966081998,0.17578156249653348,0.03739323257513724,0.13982941898083845,0.14834672049892228,0.23872492405667428,0.23292906304940858,recommendation
2038,0.16599584151413543,0.15758714074363425,0.1182485648528029,0.10617737337310465,0.18859583558471954,0.035982860727377296,0.14645690027625752,0.15724292955763247,0.2502218380683458,0.24416452750833978,recommendation
2039,0.16479439462405707,0.16138402947776356,0.12524130307004194,0.11346349142615877,0.2014987668817576,0.03463580781271397,0.15321041762766469,0.16599900521390518,0.26187705961121754,0.2555739777194776,recommendation
2040,0.16343895169711134,0.1649339827742617,0.1321148861768033,0.12075880604278641,0.21448874357988107,0.033380706503149817,0.1601460766475969,0.17465441299187257,0.27368201769698036,0.2671491076518747,recommendation
2041,0.16147769790233893,0.1672679843052944,0.13911980797488527,0.12793394898807584,0.22798426719363585,0.03265586397444803,0.16739943530473322,0.1834220166050941,0.2874945099485565,0.27911058023981566,recommendation
2042,0.15911131976338547,0.16869961542131817,0.1461739276104745,0.1350182960762646,0.24192508436978843,0.03247035511817496,0.17485275678000545,0.19222587235593735,0.302410919699292,0.29135745196240687,recommendation
2043,0.15649153015112746,0.16946565323198828,0.1532109603085279,0.1420196128694439,0.25618254547048014,0.032800833966819765,0.18243144050302418,0.20099272244949506,0.3174232839365769,0.3038018480752035,recommendation
2044,0.15371316866417833,0.16977091045202516,0.16015313794926025,0.1489405204060388,0.2706742500258759,0.033632650335247566,0.19012352808298166,0.2096427409721145,0.3317871924396399,0.3163954034924567,recommendation
2045,0.15084664706721895,0.16976684525492394,0.1669442449592544,0.1557800256482927,0.2854265923773098,0.03503693927856855,0.19788987523689638,0.21812490226591016,0.3449638955380885,0.3290875286084115,recommendation
2046,0.14792293469340315,0.1695314863967212,0.1735400073205082,0.16252631635393655,0.3003474544982136,0.03694646849526268,0.20567072371991163,0.22638770822183785,0.35666906899239204,0.3418316422812507,recommendation
2047,0.14500668219076873,0.16914874998614102,0.17995259934238073,0.16918638553663187,0.3153907392074848,0.039327630209002734,0.21352995415382525,0.234428946545264,0.3667083527617209,0.3546175260664209,recommendation
2048,0.1421255576109598,0.168670930189824,0.18616371694059936,0.1757717632185743,0.3305089263228193,0.04213514107592493,0.2214169149944218,0.24228571846180935,0.3749648546849184,0.36743924716362597,recommendation
2049,0.1393113190143838,0.1681603199703518,0.1922187025794734,0.18230764158514265,0.34574026567804306,0.04540313992104439,0.22934055863749614,0.24992901826805058,0.38145597629044553,0.3802812397022496,recommendation
2050,0.13664323406320666,0.16767397300128184,0.19813706809137346,0.18881624648943607,0.3611301982911978,0.049169509634819135,0.23737730719291522,0.2574039970413729,0.386199552510186,0.3931705831868358,recommendation
2051,0.1338121458643214,0.16702419792027937,0.2032909258343332,0.19566659317640392,0.37485096096393655,0.051594205161041816,0.2447937400519375,0.2648752586587727,0.387219158815358,0.4048947575668669,recommendation
2052,0.13089695768855378,0.16628540721132498,0.20787708072226438,0.20279562872102988,0.38734410595036556,0.05311461582581429,0.2517763641327345,0.272276987724009,0.385227377251919,0.4156865379112581,recommendation
2053,0.12798334285074262,0.1655099361737208,0.21197957656041694,0.2101440712551586,0.3989394580430438,0.05406146543143069,0.25840231365642025,0.2795885245208253,0.38098599611731976,0.4257009912429175,recommendation
2054,0.1251259357274224,0.16474649123034188,0.2157038767591221,0.21762030307152494,0.40985038833969173,0.054641880518173945,0.2647744140013643,0.2868118748696107,0.3750504551507294,0.43498673048907693,recommendation
2055,0.12233480287162402,0.1640101861096484,0.21912000391084088,0.22520856151812849,0.42025665316212185,0.05502449251561809,0.27096429078640016,0.29385010797094013,0.36782740646732065,0.4436380561729507,recommendation
2056,0.11961448656909651,0.16329417682631642,0.22225783268351132,0.23282858761082578,0.4302653314837607,0.05530414561612646,0.2769899816545327,0.3006936993704214,0.3596133979278537,0.45168456981136135,recommendation
2057,0.11697589703431335,0.16259591216699193,0.2251575814911618,0.24045773242537458,0.4399569551696105,0.0555476150232095,0.28286028587217205,0.3073323710442891,0.3506287860281216,0.45918904377708386,recommendation
2058,0.11444420301482022,0.1619571331399103,0.22783436099962856,0.24812908473852938,0.44940593352431757,0.05581616865115158,0.2886166668193842,0.3137827468225326,0.3410499925268394,0.4661932396394166,recommendation
2059,0.11202923292287403,0.161386242766084,0.230348558039099,0.2557865168167498,0.45867600548514154,0.056159170132277,0.294297604289968,0.32002627218891994,0.3310051588993313,0.4727587305214525,recommendation
2060,0.10973839125121684,0.16088715945702536,0.23273285311155353,0.26344842779357586,0.46783593614381275,0.0566312374895276,0.2999391813023522,0.32607695534071,0.32059479876421615,0.4789117196146307,recommendation
2061,0.10772172112721687,0.16014331075584928,0.23461568131787952,0.2712131255372323,0.47692803417976165,0.05726138101090639,0.30495335561303455,0.3321514657559453,0.3091809634981591,0.48513656532591065,recommendation
2062,0.10594274628485359,0.15923771812654902,0.23613750649920773,0.2790541796272981,0.48599626855045647,0.058064236748248434,0.3095119327469228,0.3381738207493496,0.2971209600787012,0.4913431836565018,recommendation
2063,0.10436954556892677,0.15822230039731236,0.23741277553378987,0.2869644422014755,0.4950314807227702,0.05899296424396685,0.31374179947413117,0.34410105791722845,0.2848170272505533,0.4975011778317784,recommendation
2064,0.1029641701534226,0.15712599118359694,0.23854036533154818,0.2949123440139093,0.5040337739217181,0.0600179348323231,0.3176991779456876,0.3499084056161793,0.27255042325786266,0.5035742669621939,recommendation
2065,0.10170993519952981,0.1559694157606188,0.23957761852066276,0.30290372814631,0.5130129540409268,0.061126974960872084,0.32145894490507687,0.3556116376315876,0.26051702435394763,0.5095337166254701,recommendation
2066,0.10057191526163481,0.15476552959291973,0.2405536852998093,0.31089252845084364,0.5219737982661525,0.062307190798527146,0.3250250738041614,0.36114160422625335,0.24885602367720389,0.5153594980113936,recommendation
2067,0.09951662097014513,0.1535034025314154,0.24149539504686637,0.3188679277983947,0.5308941665381579,0.06352423247085626,0.32842445520199226,0.36650548801514854,0.23762912051473833,0.5210325601186383,recommendation
2068,0.09853956522904303,0.15219468458661767,0.24239498745465918,0.32682118088306444,0.5397707560648146,0.06476587779709381,0.3317021201789268,0.3716710768947614,0.22689327351195424,0.5265323265173311,recommendation
2069,0.09764414493263399,0.15085268807596375,0.24329119769731072,0.3347567855106522,0.5486298154927439,0.06604872005262852,0.334857808775237,0.3766327231860732,0.21667418637173688,0.5318749157953826,recommendation
2070,0.09682671601696566,0.14949813333949555,0.24424244428434047,0.3426756006292368,0.5574702428977013,0.06736617200711773,0.3379336574978297,0.3814396203258142,0.20699356491680457,0.5370852609528255,recommendation
2071,0.09632009420621648,0.14816381685548016,0.24524562540358008,0.35064582439365893,0.5663187637538274,0.06874040872046444,0.3409597094079513,0.38651837811572126,0.1976496187328987,0.5427931726078218,recommendation
2072,0.09607396555305747,0.1468734083945296,0.2463209309358329,0.3586575422505404,0.5751816410802826,0.07019514835393506,0.3439499611152349,0.3918150358972154,0.1887220524148318,0.5488194848959863,recommendation
2073,0.09602876262330864,0.1456103122793257,0.24746319338310327,0.36668355249085205,0.5840635644972801,0.07176718825169319,0.34688182906883336,0.397236764260655,0.18023937111430074,0.5549808687413023,recommendation
2074,0.09613918707877389,0.14435451960538778,0.24862282563171023,0.3747465200430394,0.5929828280207421,0.07349597857478082,0.34975051933242995,0.4027108069530423,0.1722282503474452,0.561170542201636,recommendation
2075,0.09635045973285236,0.14311242782234643,0.24984963928921905,0.3828381033051827,0.6019229107861076,0.07537927823182738,0.3525528879532295,0.40821290957014117,0.16470103836018657,0.5673138341829941,recommendation
2076,0.09664029130213744,0.14187869935957514,0.2511171508528691,0.39094821751564135,0.6108682583668188,0.07740484195878503,0.3552785551814207,0.413685988392991,0.15763897747746067,0.5733297080206592,recommendation
2077,0.09697903154919008,0.14063955250430887,0.25242054041078893,0.39907245074042486,0.6198341145326879,0.07959126252858892,0.3579329341267645,0.41910589109380647,0.15103552313508184,0.5791796552993739,recommendation
2078,0.09735582685966157,0.13939386612283766,0.2537346520100815,0.40719628888691245,0.6288001326843595,0.08191663545024169,0.3605109915402596,0.42446288232656043,0.14486923802258247,0.5848381465628554,recommendation
2079,0.09775174145979673,0.13813420486610795,0.2550647797856753,0.41530700070020227,0.6377603510243582,0.08437133204919889,0.36298796107408204,0.42974085349026697,0.13910849479285808,0.5902841499758819,recommendation
2080,0.09815212083726318,0.13683665502622322,0.25640833392394685,0.42341305472790547,0.6467021888370045,0.08693830620889571,0.3653732397484865,0.4348976507409193,0.13371456895644696,0.5955060231775392,recommendation
2081,0.09843734469473339,0.1354660274915808,0.2579076897283078,0.43148968335197085,0.6555928969519401,0.08957930249833301,0.3681466413732641,0.439654118117886,0.12866631566664805,0.6005745446256453,recommendation
2082,0.09865594002732442,0.13406817762768622,0.2595211076134441,0.4395393386553805,0.6644349804897173,0.0922883467851087,0.37120115447193475,0.444075374954757,0.1239545059860748,0.6054574000962851,recommendation
2083,0.09883687533407579,0.13270602136900436,0.2612518451885866,0.44755611843194243,0.6732356796757504,0.09506212194800714,0.37443316977887,0.44822732543108107,0.11954909464052013,0.6101052080268832,recommendation
2084,0.09902657582778507,0.13143023063293668,0.26313869900999964,0.45553765713454214,0.681993955051714,0.09789189590047509,0.37777647482709437,0.45218514841027524,0.11543951708256589,0.614486903597425,recommendation
2085,0.09922620472657795,0.13026469786390424,0.2651760638913865,0.4634970830934797,0.6907280626617736,0.10078809398697844,0.38116436870350606,0.4559657986064334,0.11159254129161439,0.6185842061695401,recommendation
2086,0.09945954342628599,0.12922827417163146,0.26737250237672655,0.4714195551676434,0.6994361369334517,0.10374297005773109,0.384597366636054,0.45963020744669864,0.10800630084895341,0.6224027790510939,recommendation
2087,0.09972336077218322,0.12832536585087626,0.26971837583197744,0.4792945803085272,0.7080990648468833,0.10673291900812659,0.38807390607180975,0.463196631854425,0.10464964506337476,0.6259155114875313,recommendation
2088,0.10001107121271316,0.12755122242529707,0.2721726346074259,0.48713716027108156,0.716727624417402,0.10976209385954086,0.39151842161672834,0.4666833578418495,0.10149680657199603,0.6291121276831863,recommendation
2089,0.10030939284726662,0.12689363192808392,0.27475483996050154,0.4949288882738774,0.7252865852966262,0.11279093925480344,0.3949316849541075,0.4701088519395785,0.09852197753259159,0.6320175983686093,recommendation
2090,0.10060939933234744,0.12632347964143179,0.2774171304388451,0.5026693697862428,0.7337938568733227,0.11583388475525525,0.39830102617370156,0.4734688922336162,0.09570076118619947,0.6346251276181313,recommendation
2091,0.10105871165755526,0.1260697714425414,0.27960816181737225,0.5105421903211761,0.7422220956257505,0.11885963011056894,0.4014387344207043,0.47625611690175157,0.09300396326649879,0.6370286770461454,recommendation
2092,0.10161486097106698,0.12603130071514654,0.2814635143125649,0.518502677794124,0.7505745845827347,0.12187530306370867,0.4043614133342208,0.47861486208267806,0.09043136948102834,0.6392291186399058,recommendation
2093,0.1022488064323305,0.1261508740044426,0.2830696116143928,0.52648522862462,0.758841749336374,0.12487828591522263,0.4071238225456368,0.4806679247666258,0.08799032655662739,0.6412796820048181,recommendation
2094,0.1029771709212528,0.12640466752531784,0.28452623328661064,0.534529623851404,0.7670707523667195,0.12792184963805436,0.40978165939767697,0.4825105453524387,0.0857044526888229,0.6432208250796156,recommendation
2095,0.10379781623489998,0.12678143752110033,0.28590437668450563,0.5426145301579194,0.7752845978976077,0.13103036020971598,0.4123832234065491,0.4842207041390019,0.08358735942591874,0.6450975078342095,recommendation
2096,0.10469570438835751,0.12728096792296967,0.28724169645716424,0.5507606182627885,0.7834951839238008,0.13421432315181664,0.4149391120105302,0.48586197557286903,0.08163960725007366,0.6469317385312652,recommendation
2097,0.10566302434740088,0.1278695857465699,0.288570914509657,0.5589420675125827,0.791704408764738,0.1374750075729233,0.4174698532880935,0.4874553628211024,0.07985553412773311,0.6487565218381568,recommendation
2098,0.10670660340144811,0.12851994405710834,0.28988603987373296,0.5671368849555674,0.7999017682175773,0.14079933066567443,0.41999668447447924,0.4890283651045065,0.07821338760506477,0.6505515987705373,recommendation
2099,0.10780834718748125,0.12920756081530593,0.2911993471741243,0.5753466121611084,0.8080856358513581,0.1441832232434955,0.42250996657406986,0.4905949391774406,0.07669179620403402,0.6523352872761568,recommendation
2100,0.10895322930530432,0.12990540156541125,0.29250328117220914,0.583535804573501,0.8162603083083795,0.14762791910872713,0.425002828053405,0.49213987220544425,0.07526090101032029,0.6540875851631968,recommendation
