,,ssp119,ssp126,ssp245,ssp370,"ssp370-lowNTCF
-aerchemmip","ssp370-lowNTCF
-gidden",ssp585
2040,Aerosols,0.5279538888849704,0.4594492446628565,0.10757361589048911,0.0058792107652200915,0.16840297852573388,0.16840297853086622,0.2442634845860593
2040,BC on snow,-0.01048202618080761,-0.008869711230282896,-0.002786706792892095,0.03518255939100473,-0.0035935170148659124,-0.0035935170156112498,-0.000713227770128614
2040,HFCs,0.010024425870865454,0.024842323697394097,0.039049507302220635,0.036249634866096433,0.036249634866289196,0.03629927986688436,0.05614615344599343
2040,Methane (CH$_4$),-0.024037077610023716,-0.0120869153712194,0.0600145706682348,0.10248136573599596,0.10248136572455203,-0.02782032533813112,0.08376008714252431
2040,Ozone (O$_3$),-0.044065950281027985,-0.03060621138629111,0.03801876863534612,0.11496206736337092,0.050281534078091654,-0.0249084044223837,0.07197537310274911
2040,"Sum SLCF (Methane, Aerosols, Ozone, HFCs, BC on snow)",0.3724944831464155,0.36369578171284966,0.21286824320957293,0.2097120046388556,0.3253592289767802,0.11175819930365993,0.42104228773540664
2040,total_anthropogenic,0.7104214046945813,0.8279293447229124,0.8168675128302594,0.8820258891436705,1.0362404584345453,0.8196949694814613,1.1595678001442509
2100,Aerosols,0.8772077617233798,0.8667459344983266,0.649583437116348,0.04350598767615778,0.626343761765564,0.6263437617624155,0.5290023727641522
2100,BC on snow,-0.014405718182552457,-0.013619742481047421,-0.01403318199621904,0.027984386752211734,-0.012127846806412268,-0.012127846815629159,-0.013031200052015635
2100,HFCs,-0.000967046522458743,0.002713120047988747,0.08181304868641395,0.13455630283458037,0.1345563028229861,0.11696091816527819,0.3065028118746663
2100,Methane (CH$_4$),-0.11816542029266931,-0.11125013828158764,0.040370809720450616,0.3950307450140797,0.3950307449684281,-0.08640537133623843,0.23136652699119567
2100,Ozone (O$_3$),-0.07746969989958155,-0.07711250482299761,-0.010248074741254828,0.39526728379761816,0.27256640933878984,-0.052738453959628215,0.12589830445005035
2100,"Sum SLCF (Methane, Aerosols, Ozone, HFCs, BC on snow)",0.43282881469838874,0.44799115367381154,0.6354519170363948,0.8250340032177372,1.3007005983667976,0.4254580435854809,1.063149124674052
2100,total_anthropogenic,0.5832420109045073,1.1344627893045203,2.692867610201114,4.278677975042267,4.7813213256983715,3.8174346486798703,5.750393308265137
